,rxns
[],"['DGSNt', 'LSOProd', 'DGSNtm', 'O2St_Neuron', 'DHFtm', 'DCKm', 'TCYNTt_Neuron', 'CDPDAGtm_Neuron', 'DGKm', 'SARCStex_Int', 'HtrnsEX_Neuron', 'DM_prgnlone(c)', 'CHSTEROLt3_Neuron', 'DMGtm', 'APOC_LYS_BTNPm_Neuron', 'BHBt', 'NaEX_Neuron', 'ACALDt_Neuron', 'ACt2m_Neuron', 'TCYNTtm_Neuron', 'ADCim_Neuron', 'THFtm_Neuron', 'APOCFm_Neuron', 'EX_h(e)', 'DURIt', 'ASNtm', 'ACALDtm_Neuron', 'ASNtm_Neuron', 'BALAtmr_Neuron', 'CDPDAGtm', 'DPHMBDCm', 'ASPNATm_Neuron', 'CO2t_Neuron', 'CO2tm_Neuron', 'AOBUTDsm', 'TCYNTt_Int', 'BETALDHxm_Neuron', 'SERtm', 'AOBUTDsm_Neuron', 'COUCOAFm_Neuron', 'BHBt_Neuron', 'EX_uri(e)', '4HBZFm_Neuron', 'PPAt_Neuron', 'EX_h2o2(e)', 'DM_nadph(c)', 'EX_hco3(e)', 'EX_h2o(e)', 'DTKm_Neuron', '5AOPtm_Neuron', 'EX_ile-L(e)', 'DGSNt_Neuron', 'EX_k(e)', 'H2O2t_Int', 'EX_lac-D(e)', 'CHSTEROLt3', 'H2O2tm', '3AIBt_Neuron', 'EX_lac-L(e)', '25HVITD2tin_m', 'DGSNtm_Neuron', 'EX_leu-L(e)', '5THFtm', '25HVITD2tm', 'CO2t_Int', 'PPAtm_Neuron', 'EX_lys-L(e)', 'DM_atp(m)', 'DHFtm_Neuron', '25HVITD3t', 'EX_na1(e)', '3AIBtm_Neuron', 'CYANt_Int', 'Ht_Int', 'DCKm_Neuron', 'EX_nh4(e)', '25HVITD3tin', 'DM_ahcys_Neuron', 'EX_o2(e)', '3DPHBH1_Neuron', '5THFtm_Neuron', 'CREATtmdiffir', '25HVITD3tin_m', 'Ht', '3DPHBH2_Neuron', 'DGKm_Neuron', 'EX_o2s(e)', '6DHFtm', 'GLYCt_Int', 'Kt1r_Int', 'DM_for_Neuron', '25HVITD3tm', 'EX_orn(e)', '6THFtm', 'DM_10fthf7glu_Neuron', 'DMGtm_Neuron', 'sink_chsterol', 'EX_pe_hs(e)', '7DHFtm', 'DM_1a2425thvitd2', 'EX_pi(e)', '7THFtm', '3AIBt', 'DM_10fthf6glu_Neuron', 'EX_ppa(e)', 'PPPG9tm_Neuron', 'ADCim', 'DM_1a2425thvitd3', 'O2t_Int', 'sink_vitd3', '6DHFtm_Neuron', 'DM_10fthf5glu_Neuron', 'EX_pro-L(e)', 'sink_vitd2', '6THFtm_Neuron', 'EX_NACASPt_Int', 'HCO3Em', 'DM_5thf_Neuron', 'EX_ps_hs(e)', 'NACASPtm_Neuron', 'ACt2r', 'O2St', 'ILEt5m', '7DHFtm_Neuron', 'NACASPt_Neuron', 'EX_pyr(e)', 'CO2t', 'DM_6dhf_Neuron', '7THFtm_Neuron', 'EX_sarcs(e)', '3SPYRSPm_Neuron', 'ETOHt', 'ACt2m', 'DM_6thf_Neuron', 'PRGNLONEtm_Neuron', 'DGSNt_Int', 'CO2tm', 'FALDtm', 'EX_ser-L(e)', 'AACTtm', 'DURIt_Neuron', 'DM_7dhf_Neuron', 'ETOHt_Neuron', 'DM_7thf_Neuron', 'EX_so4(e)', 'Kt1r', 'PCREATtmdiffir', 'FALDtm_Neuron', '4ABUTtm_Neuron', 'FORt2m', 'O2Stm', 'EX_tcynt(e)', '4HBZCOAFm_Neuron', 'DURIt_Int', 'DPHMBDCm_Neuron', 'O2t', 'DM_atp(c)_Neuron', 'SARCStex', 'EX_thymd(e)', 'ETOHt_Int', '34HPLFM', 'SARCStm', 'O2St_Int', 'O2tm', 'EX_urea(e)', 'FE2tm', 'AACTtm_Neuron', 'PROtm_Neuron', 'DM_pchol_hs', 'FORt2m_Neuron', 'GLYCt_Neuron', 'DM_pheme(c)_Neuron', 'GLYCtm_Neuron', 'DM_fald_Neuron', 'FE2tm_Neuron', 'PPAt_Int', '25HVITD2t_Int', 'EX_val-L(e)', 'COUCOAFm', 'GLNtm_Neuron', 'sink_amet', 'sink_decdp', 'sink_4hpro-LT(m)', 'sink_dhf(c)', 'GLYtm_Neuron', 'sink_dmgly', '3AIBtm', 'sink_tyr-L(m)', 'TCYNTt', '10FTHF5GLUtm', 'PHEMEtm', '3DPHBH1', '3DPHBH2', 'ACALDt', 'LEUt5m', '10FTHF6GLUtm', 'PRGNLONEtm', '10FTHF7GLUtm', 'TCYNTtm', '10FTHFtm', 'THFtm', 'H2O2t_Neuron', 'DM_10fthf5glu', 'DM_10fthf7glu', 'DM_10fthf6glu', '25HVITD2tin', 'VALt5m_Neuron', 'ACALDtm', '3SPYRSPm', 'DM_5thf', 'Kt1r_Neuron', 'DM_6dhf', 'Ht_Neuron', 'CYANt', 'DM_4mptnl(m)', 'PROtm', 'H2O2tm_Neuron', 'CYANtm', 'DM_6thf', 'VITD2tm_Neuron', '4HBZCOAFm', 'PPA2m', 'DM_7dhf', 'DDPGAm', '4ABUTtm', 'PPAt', 'MTDNAdpolym_Neuron', 'VITD3tm_Neuron', 'DM_ahcys', 'DECDPtm_Neuron', '25HVITD2t', 'ILEt5m_Neuron', 'DM_fald', '5AOPtm', 'PPAtm', 'HCO3Em_Neuron', 'PPPG9tm', 'DM_7thf', 'DECDPtm', 'DM_atp(c)', 'DDPGAm_Neuron', 'VITD3tm3_Neuron', 'MTDNAploym_Neuron', '4HBZFm', 'EX_glyc(e)', 'PHCHGSm', '25HVITD2tin_Neuron', 'EX_pe_hs(e)_Neuron', 'DM_pheme(c)', 'DM_q10(m)_Neuron', 'DM_for', 'DM_thf(c)_Neuron', 'EX_ps_hs(e)_Neuron', 'BHBtm_Neuron', 'DM_q10(m)', 'SERtm_Neuron', 'DM_thf(c)', 'sink_4hpro-LT(m)_Neuron', 'EX_3aib(e)', 'sink_amet_Neuron', 'EX_4abut(e)', 'sink_decdp_Neuron', 'DM_prgnlone(c)_Neuron', 'O2Stm_Neuron', 'EX_ac(e)', 'sink_dhf(c)_Neuron', '25HVITD2tin_Int', 'EX_acac(e)', 'sink_dmgly_Neuron', 'DM_nadph(c)_Neuron', 'APOC_LYS_BTNPm', '25HVITD3t_Int', 'EX_acald(e)', 'sink_tyr-L(m)_Neuron', 'EX_ala-B(e)', '25HVITD3tin_Int', '10FTHF5GLUtm_Neuron', 'CREATtmdiffir_Neuron', '25HVITD2tin_m_Neuron', 'O2t_Neuron', 'EX_arg-L(e)', 'GLYCt', '3AIBt_Int', '25HVITD2tm_Neuron', 'EX_asn-L(e)', 'O2tm_Neuron', 'VALt5m', 'GLYCtm', 'APOCFm', 'EX_bhb(e)', 'DM_4mptnl(m)_Neuron', '25HVITD3t_Neuron', '10FTHF6GLUtm_Neuron', 'DM_atp(m)_Neuron', 'EX_btn(e)', 'LEUt5m_Neuron', 'PHCHGSm_Neuron', '25HVITD3tin_Neuron', 'EX_co2(e)', '10FTHF7GLUtm_Neuron', '25HVITD3tin_m_Neuron', 'EX_crn(e)', 'LSOProd_Neuron', '10FTHFtm_Neuron', 'sink_chsterol_Neuron', 'EX_cyan(e)', 'VITD2tm', 'DM_1a2425thvitd2_Neuron', '25HVITD3tm_Neuron', 'BALAtmr', 'PPA2m_Neuron', 'EX_cys-L(e)', 'ACALDt_Int', 'PHEMEtm_Neuron', 'EX_duri(e)', 'DM_1a2425thvitd3_Neuron', 'sink_vitd3_Neuron', 'sink_vitd2_Neuron', 'ACt2r_Int', 'EX_etoh(e)', 'VITD3tm', '34HPLFM_Neuron', 'T4HCINNMFM_Neuron', 'EX_fe2(e)', 'BETALDHxm', 'BHBtm', 'EX_glc(e)', 'VITD3tm3', 'CYANt_Neuron', 'GLYtm', 'EX_gln-L(e)', 'CYANtm_Neuron', 'DM_pchol_hs_Neuron', 'EX_glu-L(e)', 'T4HCINNMFM', 'PCREATtmdiffir_Neuron', 'EX_gly(e)', 'MTDNAploym', 'H2O2t', '25HVITD2t_Neuron', 'DTKm', 'SARCStm_Neuron', 'BHBt_Int', 'MTDNAdpolym', 'GLNtm']"
1594,"['1a,24,25VITD2Hm_Neuron', '25VITD3Hm_Neuron', '25VITD2Hm_Neuron', '1a,24,25VITD3Hm', '25VITD3Hm', '1a,24,25VITD3Hm_Neuron', '1a,24,25VITD2Hm', '25VITD2Hm']"
1591,"['1a,25VITD2Hm', '1a,25VITD3Hm_Neuron', '1a,25VITD2Hm_Neuron', '24,25VITD2Hm_Neuron', '24,25VITD3Hm', '24,25VITD2Hm', '24,25VITD3Hm_Neuron', '1a,25VITD3Hm']"
89874,"['2AMADPTm_Neuron', '2AMADPTm', '2OXOADPTm_Neuron', '2OXOADPTm']"
8050,"['2OXOADOXm', 'AKGDm', 'AKGDm_Neuron', 'PDHm_Neuron', 'PDHm', '2OXOADOXm_Neuron']"
1738,"['OIVD3m', 'GCC2cm', 'GCC2bim', 'GCCcm', '2OXOADOXm', 'GCCbim_Neuron', 'GCCcm_Neuron', 'GCC2bim_Neuron', 'OIVD3m_Neuron', 'OIVD1m_Neuron', 'PDHm_Neuron', 'GCCam_Neuron', 'PDHm', 'GCCbim', '2OXOADOXm_Neuron', 'GCC2cm_Neuron', 'GCC2am_Neuron', 'OIVD2m_Neuron', 'OIVD1m', 'AKGDm', 'OIVD2m', 'GCC2am', 'AKGDm_Neuron', 'GCCam']"
4967,"['2OXOADOXm_Neuron', '2OXOADOXm', 'AKGDm', 'AKGDm_Neuron']"
1743,"['2OXOADOXm_Neuron', '2OXOADOXm', 'AKGDm', 'AKGDm_Neuron']"
18,"['APAT2rm_Neuron', 'ABTArm', '3AIBTm', 'APAT2rm', '3AIBTm_Neuron', 'ABTArm_Neuron']"
55268,"['3HBCDm_Neuron', '3HBCDm']"
