ID,Centrality,Optimality,Node,Module
3SALATAimNeuron,0.4696423785854731,1.2813167265063668e-16,Neuron,Optimal
3SALATAimNeuron,0.4696423785854731,1.2813167265063668e-16,Neuron,Optimal
AACOATNeuron,0.04120492266128161,0.6265040045668268,Neuron,Optimal
ACONTmNeuron,0.007246896105409634,0.40833999354103945,Neuron,Optimal
ACONTmNeuron,0.007246896105409634,0.40833999354103945,Neuron,Optimal
AKGMALtmNeuron,0.009798638488280796,0.4083399935410398,Neuron,Optimal
ASPTANeuron,0.004445483848472197,0.4083399935410369,Neuron,Optimal
ASPTAmNeuron,0.02317055516790652,0.4083399935410369,Neuron,Optimal
ASPTAmNeuron,0.02317055516790652,0.4083399935410369,Neuron,Optimal
C160CPT2Neuron,0.03146638404229291,0.503599290500154,Neuron,Optimal
C204CPT2Neuron,0.013659460971899141,0.503599290500154,Neuron,Optimal
C226CPT2Neuron,0.013659460971903495,0.503599290500154,Neuron,Optimal
CYSTAmNeuron,0.01506104606410883,0,Neuron,Optimal
EHGLAT2mNeuron,0.006875462919422519,0,Neuron,Optimal
EHGLATmNeuron,0.01975006031121847,0,Neuron,Optimal
ETFQONeuron,0.02135116468485499,0.40833999354103945,Neuron,Optimal
ETFQONeuron,0.02135116468485499,0.40833999354103945,Neuron,Optimal
ETOHMONeuron,0.08468907997769795,0.43212301374922035,Neuron,Optimal
FUMSO3tmNeuron,0.0049553020409583625,1.5185976017853237e-16,Neuron,Optimal
FUMSO3tmNeuron,0.0049553020409583625,1.5185976017853237e-16,Neuron,Optimal
FUMSO4tmNeuron,0.004570015858306918,0,Neuron,Optimal
FUMSO4tmNeuron,0.004570015858306918,0,Neuron,Optimal
FUMTSULtmNeuron,0.0036824656046761956,0,Neuron,Optimal
FUMTSULtmNeuron,0.0036824656046761956,0,Neuron,Optimal
FUMmNeuron,0.1320630812805514,0.4083399935410395,Neuron,Optimal
FUMmNeuron,0.1320630812805514,0.4083399935410395,Neuron,Optimal
FUMtmNeuron,0.042441921931746396,3.321932253905396e-17,Neuron,Optimal
FUMtmNeuron,0.042441921931746396,3.321932253905396e-17,Neuron,Optimal
GLYCLTDymNeuron,0.44652992775782147,0.4569737160686769,Neuron,Optimal
GLYCLTDymNeuron,0.44652992775782147,0.4569737160686769,Neuron,Optimal
H2OtNeuron,0.02616862735866564,5.1073589154378375e-18,Neuron,Optimal
H2OtNeuron,0.02616862735866564,5.1073589154378375e-18,Neuron,Optimal
H2OtmNeuron,0.23155061818372816,0.887340820938889,Neuron,Optimal
H2OtmNeuron,0.23155061818372816,0.887340820938889,Neuron,Optimal
HMGLmNeuron,0.008887131722989702,0.40833999354103945,Neuron,Optimal
ICDHyrmNeuron,0.05407264685110995,0.4083399935410395,Neuron,Optimal
ICDHyrmNeuron,0.05407264685110995,0.4083399935410395,Neuron,Optimal
LCYSTATmNeuron,0.01712312034771944,0,Neuron,Optimal
MALSO3tmNeuron,0.0056290473306315186,7.592988008926619e-17,Neuron,Optimal
MALSO4tmNeuron,0.004886027676900621,0,Neuron,Optimal
MALTSULtmNeuron,0.0047032197071182604,0,Neuron,Optimal
MALTSULtmNeuron,0.0047032197071182604,0,Neuron,Optimal
MDHNeuron,0.07200446947868316,0.4083399935410377,Neuron,Optimal
MDHmNeuron,0.4614502608725876,0.5257719676123819,Neuron,Optimal
MDHmNeuron,0.4614502608725876,0.5257719676123819,Neuron,Optimal
OCOAT1mNeuron,0.0075955432950815865,0.40833999354103945,Neuron,Optimal
PHETA1mNeuron,0.01506104605424751,0,Neuron,Optimal
PHETA1mNeuron,0.01506104605424751,0,Neuron,Optimal
SLDxmNeuron,0.4639906350297333,1.423685251673741e-17,Neuron,Optimal
SUCCt2mNeuron,0.042542216532953404,1.1864043763947843e-16,Neuron,Optimal
TYRTAmNeuron,0.03558934332416184,7.592988008926619e-17,Neuron,Optimal
TYRTAmNeuron,0.03558934332416184,7.592988008926619e-17,Neuron,Optimal
TYRTAmNeuron,0.03558934332416184,7.592988008926619e-17,Neuron,Optimal
NH3tmNeuron,0.6309885617266977,0.2551643238024936,Neuron,Optimal
UREAtmNeuron,0.04563967268285769,0,Neuron,Optimal
UREAtmNeuron,0.04563967268285769,0,Neuron,Optimal
1a2425VITD2HmNeuron,0.5213036093084393,0,Neuron,Central
1a2425VITD3HmNeuron,0.5213036093062093,5.22017925613705e-17,Neuron,Central
1a25VITD2HmNeuron,0.5213036093089645,0,Neuron,Central
1a25VITD3HmNeuron,0.5213036093086744,1.04403585122741e-16,Neuron,Central
2425VITD2HmNeuron,0.519303842456168,7.592988008926619e-17,Neuron,Central
2425VITD3HmNeuron,0.5193038831742829,5.22017925613705e-17,Neuron,Central
3HBCOAHLmNeuron,0.553642351959766,9.965796761717191e-17,Neuron,Central
4HGLSDmNeuron,0.5342544712922148,5.694741006694964e-17,Neuron,Central
AASAD3mNeuron,0.5324862602589612,2.847370503347482e-17,Neuron,Central
ACACt2mNeuron,0.623813331161634,1.2338605514505756e-16,Neuron,Central
ACACt2mNeuron,0.623813331161634,1.2338605514505756e-16,Neuron,Central
ACt2mNeuron,0.6076942349989459,2.847370503347482e-17,Neuron,Central
ADPRDPmNeuron,0.521557801003502,0.24683119087704655,Neuron,Central
AGPRimNeuron,0.4781052826490323,1.423685251673741e-17,Neuron,Central
ARGtmNeuron,0.6095809644177809,9.0166732606003594e-17,Neuron,Central
BTNt2Neuron,0.1273593164257262,9.183942876889191e-16,Neuron,Central
BTNt2mNeuron,0.6087027759543957,7.118426258368705e-18,Neuron,Central
BTNt2mNeuron,0.6087027759543957,7.118426258368705e-18,Neuron,Central
CITRtmNeuron,0.012529134497403829,0,Neuron,Central
COQ7mNeuron,0.5168493958714838,2.3728087527895682e-17,Neuron,Central
CYANSTmNeuron,0.5932551117280516,2.3490806652616724e-16,Neuron,Central
D-LACtmNeuron,0.6020573404325112,9.491235011158273e-18,Neuron,Central
DGNSKmNeuron,0.5441423695574948,4.745617505579137e-18,Neuron,Central
DUTPDPmNeuron,0.5300052739288142,0.15069627744127118,Neuron,Central
DUTPDPmNeuron,0.5300052739288142,0.15069627744127118,Neuron,Central
FPGS2mNeuron,0.526709152276193,4.318511930077015e-16,Neuron,Central
FPGS2mNeuron,0.526709152276193,4.318511930077015e-16,Neuron,Central
FPGS2mNeuron,0.526709152276193,4.318511930077015e-16,Neuron,Central
FPGS3mNeuron,0.5423529232685311,4.318511930077015e-16,Neuron,Central
FPGS3mNeuron,0.5423529232685311,4.318511930077015e-16,Neuron,Central
FPGS3mNeuron,0.5423529232685311,4.318511930077015e-16,Neuron,Central
FPGS4mNeuron,0.5517805118015765,7.023513908257123e-16,Neuron,Central
