ID,cell,AbsoluteC
10FTHF5GLUtm,Astrocyte,0.018671646970738774
10FTHF6GLUtm,Astrocyte,0.018671482032701924
10FTHF7GLUtm,Astrocyte,0.028407699381281085
10FTHFtm,Astrocyte,0.0012902231073876572
1a2425VITD2Hm,Astrocyte,0.8090352182766718
1a2425VITD3Hm,Astrocyte,0.8090352182766692
1a25VITD2Hm,Astrocyte,0.8090352182766687
1a25VITD3Hm,Astrocyte,0.8090352182766679
2425VITD2Hm,Astrocyte,0.8096384188949614
2425VITD3Hm,Astrocyte,0.8096384377766328
25HVITD2t,Astrocyte,9.758956211754724e-4
25HVITD2tInt,Astrocyte,0
25HVITD2tin,Astrocyte,9.758956214483514e-4
25HVITD2tinInt,Astrocyte,1.8582593395845008e-14
25HVITD2tinm,Astrocyte,0.002477685598410212
25HVITD2tm,Astrocyte,0.0024776855986303843
25HVITD3t,Astrocyte,9.758894251266999e-4
25HVITD3tInt,Astrocyte,3.0277600232774087e-9
25HVITD3tin,Astrocyte,9.758894252873674e-4
25HVITD3tinInt,Astrocyte,3.0277674820602188e-9
25HVITD3tinm,Astrocyte,0.00247792779362973
25HVITD3tm,Astrocyte,0.002477927793559688
25VITD2Hm,Astrocyte,0.8096384188949595
25VITD3Hm,Astrocyte,0.8096384377766397
2AMADPTm,Astrocyte,0.0027623279808530856
2OXOADOXm,Astrocyte,0.10992143059788737
2OXOADPTm,Astrocyte,0.002241793923171084
34HPLFM,Astrocyte,0.6896261814205837
3AIBTm,Astrocyte,0.10408883914812818
3AIBt,Astrocyte,0.03219041897776336
3AIBtInt,Astrocyte,0.013313453385665839
3AIBtm,Astrocyte,0.0731656315783605
3DPHBH1,Astrocyte,0.8527568835771642
3DPHBH2,Astrocyte,0.8104746012378227
3HBCDm,Astrocyte,0.15710129159141073
3HBCOAHLm,Astrocyte,0.8965418163618943
3SALAASPm,Astrocyte,8.360512927621744e-4
3SALATAim,Astrocyte,0.6903570766228034
3SPYRSPm,Astrocyte,0.8095804566088466
4ABUTtm,Astrocyte,0.0018645626451813094
4HBZCOAFm,Astrocyte,0.8965243534364675
4HBZFm,Astrocyte,0.8983571039290665
4HGLSDm,Astrocyte,0.8497425500215484
5AOPtm,Astrocyte,0.0031066783008668352
5HOXINDACTOXm,Astrocyte,0.8560061859770988
5THFtm,Astrocyte,0.018671114209124796
6DHFtm,Astrocyte,0.018671618351118312
6THFtm,Astrocyte,0.01867148192139464
7DHFtm,Astrocyte,0.028407699384051924
7THFtm,Astrocyte,0.028407699380990192
AACOAT,Astrocyte,0.011299023016406376
AACTOOR,Astrocyte,0.019272052639605776
AACTtm,Astrocyte,0.0030377690948049205
AASAD3m,Astrocyte,0.8574029644149653
AATAi,Astrocyte,7.847509389710761e-4
ABTArm,Astrocyte,0.011097535538676628
ABUTt2r,Astrocyte,0.050706793161010295
ABUTt2rInt,Astrocyte,0.04289356717982533
ACACT10m,Astrocyte,0.001214627808628345
ACACT1r,Astrocyte,0.007720379909144818
ACACT1rm,Astrocyte,0.0035747406941125087
ACACt2,Astrocyte,0.05128262005431376
ACACt2Int,Astrocyte,0.042750667812314506
ACACt2m,Astrocyte,0.8942946245319081
ACALDt,Astrocyte,0.011905043302175136
ACALDtInt,Astrocyte,9.63757346936401e-4
ACALDtm,Astrocyte,6.675858108114981e-4
ACCOALm,Astrocyte,0.12267484841186409
ACOAD10m,Astrocyte,0.0012287426792027304
ACOAD1fm,Astrocyte,0.001243570450348748
ACOAD8m,Astrocyte,0.001337683192199038
ACOAD9m,Astrocyte,0.0012276554630037914
ACONTm,Astrocyte,8.540966902702419e-4
ACRNtm,Astrocyte,0.007699808279578198
ACSm,Astrocyte,0.07049863431045048
ACt2m,Astrocyte,0.898640257592652
ACt2r,Astrocyte,0.05097909958471289
ACt2rInt,Astrocyte,0.0428425322547256
ADCim,Astrocyte,0.699180221939107
ADK1,Astrocyte,0.0020966703427640556
ADK1m,Astrocyte,0.02021599343842784
ADK3m,Astrocyte,0.00919998828598962
