ID,cell,AbsoluteC
10FTHF5GLUtm,Astrocyte,0.03706767816493106
10FTHF6GLUtm,Astrocyte,0.03708909793543193
10FTHF7GLUtm,Astrocyte,0.05664684130925645
10FTHFtm,Astrocyte,0.0023851670609868376
1a2425VITD2Hm,Astrocyte,0.7933670639037366
1a2425VITD3Hm,Astrocyte,0.7933670639037385
1a25VITD2Hm,Astrocyte,0.7933670639037361
1a25VITD3Hm,Astrocyte,0.7933670639037191
2425VITD2Hm,Astrocyte,0.7939391242920593
2425VITD3Hm,Astrocyte,0.7939391438805175
25HVITD2t,Astrocyte,0.0017242035266456226
25HVITD2tInt,Astrocyte,0
25HVITD2tin,Astrocyte,0.0017242035271935014
25HVITD2tinInt,Astrocyte,3.6469477546376524e-14
25HVITD2tinm,Astrocyte,0.004850789583109466
25HVITD2tm,Astrocyte,0.0048507895835737235
25HVITD3t,Astrocyte,0.0017241907488545448
25HVITD3tInt,Astrocyte,6.138149006531366e-9
25HVITD3tin,Astrocyte,0.001724190749176284
25HVITD3tinInt,Astrocyte,6.138164609761319e-9
25HVITD3tinm,Astrocyte,0.0048512771377906575
25HVITD3tm,Astrocyte,0.00485127713765542
25VITD2Hm,Astrocyte,0.7939391242920506
25VITD3Hm,Astrocyte,0.7939391438805314
2AMADPTm,Astrocyte,0.0017986419493351933
2OXOADOXm,Astrocyte,0.10306366300946068
2OXOADPTm,Astrocyte,0.0016012466119182263
34HPLFM,Astrocyte,0.6693022132526687
3AIBTm,Astrocyte,1
3AIBt,Astrocyte,0.0632131223534647
3AIBtInt,Astrocyte,0.03716026742040818
3AIBtm,Astrocyte,0.1473636965806707
3DPHBH1,Astrocyte,0.8345646537441848
3DPHBH2,Astrocyte,0.794710349389229
3HBCDm,Astrocyte,0.1524210501696746
3HBCOAHLm,Astrocyte,0.8770572990735315
3SALAASPm,Astrocyte,0.0017370305730872954
3SALATAim,Astrocyte,0.6686039748602858
3SPYRSPm,Astrocyte,0.7929954034724158
4ABUTtm,Astrocyte,0.0036623173236479726
4HBZCOAFm,Astrocyte,0.8773749008336318
4HBZFm,Astrocyte,0.8865414024857483
4HGLSDm,Astrocyte,0.8315559405336314
5AOPtm,Astrocyte,0.006216413414900113
5HOXINDACTOXm,Astrocyte,0.8375039845136418
5THFtm,Astrocyte,0.037107683730760434
6DHFtm,Astrocyte,0.03708937829195677
6THFtm,Astrocyte,0.037207817766770714
7DHFtm,Astrocyte,0.05664684134334179
7THFtm,Astrocyte,0.05662504569371499
AACOAT,Astrocyte,0.02096173360256721
AACTOOR,Astrocyte,0.03357576960815761
AACTtm,Astrocyte,0.006136363426529915
AASAD3m,Astrocyte,0.838775709590659
AATAi,Astrocyte,0.0016766717082318974
ABTArm,Astrocyte,0.008692972386741153
ABUTt2r,Astrocyte,0.027960392435315444
ABUTt2rInt,Astrocyte,0.04610363130013716
ACACT10m,Astrocyte,0.001188873839300041
ACACT1r,Astrocyte,0.015427154600114682
ACACT1rm,Astrocyte,0.002473106117284068
ACACt2,Astrocyte,0.02986165159185049
ACACt2Int,Astrocyte,0.04579143634639694
ACACt2m,Astrocyte,0.8025619274697308
ACALDt,Astrocyte,0.023498057653439614
ACALDtInt,Astrocyte,0.0017327219469767216
ACALDtm,Astrocyte,0.001472059972732441
ACCOALm,Astrocyte,0.4434580235228378
ACOAD10m,Astrocyte,6.27175694193139e-4
ACOAD1fm,Astrocyte,6.282375029327676e-4
ACOAD8m,Astrocyte,6.900022239857269e-4
ACOAD9m,Astrocyte,6.271134416717862e-4
ACONTm,Astrocyte,0.0014388906976196207
ACRNtm,Astrocyte,0.015265753213034633
ACSm,Astrocyte,0.058900933519195224
ACt2m,Astrocyte,0.8069552419831079
ACt2r,Astrocyte,0.029777581621402576
ACt2rInt,Astrocyte,0.04590333648128448
ADCim,Astrocyte,0.6786365017373378
ADK1,Astrocyte,0.0018087088398479757
ADK1m,Astrocyte,0.015357157243467888
ADK3m,Astrocyte,0.006341233386978966
ADPRDPm,Astrocyte,0.8134997638215652
AGMTm,Astrocyte,0.2590806358203038
AGPRim,Astrocyte,0.6832093829173493
AGTim,Astrocyte,0.003424552770665722
AKGDm,Astrocyte,0.11233959291181014
AKGMALtm,Astrocyte,0.002847206365666846
ALASm,Astrocyte,0.728867667768051
ALATAL,Astrocyte,0.08159892869661987
ALATALm,Astrocyte,0.003489423611125203
ALAtN1,Astrocyte,0.00494822161684556
ALAtN1Int,Astrocyte,0.001821675090013418
ALCD2if,Astrocyte,0.024352011249726174
ALCD2yf,Astrocyte,0.023853506125633354
ALDD20xm,Astrocyte,0.8375039845136414
ALDD2x,Astrocyte,0.013309901223159802
ALDD2xm,Astrocyte,0.8420245172640705
ALDD2y,Astrocyte,0.013398876693323342
ALDH1L1,Astrocyte,0.846148202761752
ALR,Astrocyte,0.013060315266700744
AMETt2m,Astrocyte,0.05464422069766424
AOBUTDsm,Astrocyte,0.6849618714369261
APAT2rm,Astrocyte,0.009296691325451481
APOCFm,Astrocyte,0.7875660269372964
APOCLYSBTNPm,Astrocyte,0.15188778007134074
ARGDCm,Astrocyte,0.6865699158078475
ARGLYSex,Astrocyte,0.0276943372122853
ARGLYSexInt,Astrocyte,0.0075489864737804
ARGtiDF,Astrocyte,0.003567216305631535
ARGtiDFInt,Astrocyte,0.001250054970518447
ARGtm,Astrocyte,0.7998505733896633
ASNNm,Astrocyte,0.1458360048212756
ASNt4,Astrocyte,0.017458627486315572
ASNt4Int,Astrocyte,0.0037292469342098825
ASNtm,Astrocyte,0.003080410486274443
ASPGLUm,Astrocyte,0.8383246988979319
ASPTA,Astrocyte,0.0017177097000531378
ASPTAm,Astrocyte,0.014556579003272197
ATPtm,Astrocyte,0.02475383146448271
BACCLm,Astrocyte,0.6922756766999751
BALAVECSEC,Astrocyte,0.02619865679459984
BALAVECSECInt,Astrocyte,0.013888138076659255
BALAtmr,Astrocyte,0.003020601545436607
BAMPPALDOXm,Astrocyte,0.8305785090123242
BDHm,Astrocyte,0.6701479196303204
BETALDHxm,Astrocyte,0.8375039845136403
BHBt,Astrocyte,0.029777581621303596
BHBtInt,Astrocyte,0.045903336481279415
BHBtm,Astrocyte,0.7986338851296948
BTNDm,Astrocyte,0.15549991606160732
BTNPLm,Astrocyte,0.6495847083882094
BTNt2,Astrocyte,0.020944402939364712
BTNt2Int,Astrocyte,0.045903336481296325
BTNt2m,Astrocyte,0.8115255588016032
BTNt4i,Astrocyte,0.020944402939600693
BTNt4iInt,Astrocyte,0.04590333648131955
C160CPT2,Astrocyte,0.018616658711294094
C160CRNt,Astrocyte,0.015284319243349293
C204CPT2,Astrocyte,0.00363458101449833
C226CPT2,Astrocyte,0.0036345810145507187
C2M26DCOAHLm,Astrocyte,0.14385400578889207
CATm,Astrocyte,0.1543530452626724
CBLATm,Astrocyte,0.6844057923943702
CDPDAGtm,Astrocyte,0.01488369123671405
CDSm,Astrocyte,0.640084623009243
CHSTEROLt3,Astrocyte,0.05663234946367125
CITRtm,Astrocyte,0.015013953419659732
CITtam,Astrocyte,0.0011140117650705985
CITtbm,Astrocyte,0.0019352635680249947
CK,Astrocyte,0.08952408133086637
CKc,Astrocyte,0.042989644178122635
CO2t,Astrocyte,0.025746910425047582
CO2tInt,Astrocyte,0.0020470073734485342
CO2tm,Astrocyte,0.00276442137431399
COQ3m,Astrocyte,0.6335989176120178
COQ5m,Astrocyte,0.6307502776755091
COQ6m,Astrocyte,0.15554663194886637
COQ7m,Astrocyte,0.7930289966920121
COUCOAFm,Astrocyte,0.04987756465624477
CPPPGO,Astrocyte,0.01975561587251235
CREATtmdiffir,Astrocyte,0.006108749806514683
CRNt,Astrocyte,0.04405205908612374
CRNtInt,Astrocyte,0.008756637384808091
CRNtim,Astrocyte,0.12823944903423515
CSNAT2m,Astrocyte,0.0020890056840714966
CSNATm,Astrocyte,0.018489688675214378
CSm,Astrocyte,0.8740260087773956
CYANSTm,Astrocyte,0.7603612206068547
CYANt,Astrocyte,0.06360879500156287
CYANtInt,Astrocyte,0.026290235468578522
CYANtm,Astrocyte,0.14623239400238996
CYSGLUexR,Astrocyte,0.004258202270252117
CYSGLUexRInt,Astrocyte,0.003213140962551884
CYSGLYex,Astrocyte,0.002244221723199755
CYSGLYexR,Astrocyte,0.0022442217233006596
CYSGLYexInt,Astrocyte,0.0015739306637406623
CYSO,Astrocyte,0.012905688605475944
CYSTAm,Astrocyte,0.006274592983136987
CYStec,Astrocyte,9.279798205486573e-4
CYStecInt,Astrocyte,9.644860095169856e-4
CYTK1m,Astrocyte,0.009428450143238842
DLACt2,Astrocyte,0.029777581620598962
DLACt2Int,Astrocyte,0.0459033364812753
DLACtm,Astrocyte,0.7986338851296951
DAKm,Astrocyte,0.0013306338646155258
DCKm,Astrocyte,0.012979316099442546
DDPGAm,Astrocyte,0.0017766062764329644
DECDPtm,Astrocyte,0.05932508309089423
DGKm,Astrocyte,0.012979316099435168
DGNSKm,Astrocyte,0.7140770028446211
DGSNt,Astrocyte,0.016022514196824333
DGSNtInt,Astrocyte,0.012603094457538896
DGSNtm,Astrocyte,0.09230751278023154
DHDPBMTm,Astrocyte,0.6329192358822263
DHFtm,Astrocyte,0.05664741586712109
DPHMBDCm,Astrocyte,0.6868752262667435
DTKm,Astrocyte,0.014359508800612939
DURIK1m,Astrocyte,0.707471881485846
DUTPDPm,Astrocyte,0.7991034631892603
ECOAH12m,Astrocyte,0.14399380094736627
ECOAH1m,Astrocyte,0.16091791959801394
ECOAH9m,Astrocyte,0.1523586120093939
EHGLAT2m,Astrocyte,0.0019673914846531793
EHGLATm,Astrocyte,0.011067425593035859
ETF,Astrocyte,5.779442763406855e-4
ETFQO,Astrocyte,0.0013447171622392434
ETOHMO,Astrocyte,0.01615736879808633
ETOHt,Astrocyte,0.027355967347961876
ETOHtInt,Astrocyte,0.0013998322203259872
FALDtm,Astrocyte,0.05682078257602238
FCLTm,Astrocyte,0.6337106550237775
FE2t,Astrocyte,0.023080639960360163
FE2tInt,Astrocyte,0.0035854384223160986
FE2tm,Astrocyte,0.8041145423554006
FORt2m,Astrocyte,0.05696562533023592
FPGS2m,Astrocyte,0.7221084352170735
FPGS3m,Astrocyte,0.7255953197365816
FPGS4m,Astrocyte,0.7597583218847507
FPGS5m,Astrocyte,0.7573430388919928
FPGS6m,Astrocyte,0.7586441558153443
FPGS7m,Astrocyte,0.764572898332435
FPGS8m,Astrocyte,0.7584163587367861
FPGS9m,Astrocyte,0.7586441883848177
FPGSm,Astrocyte,0.7496557936304062
FTHFLm,Astrocyte,0.0666027431724226
FUMSO3tm,Astrocyte,0.0012164518442869569
FUMSO4tm,Astrocyte,0.0029222580824379346
FUMTSULtm,Astrocyte,0.0012293767203180467
FUMm,Astrocyte,0.15771176635377918
FUMtm,Astrocyte,0.009651617620956225
G5SDym,Astrocyte,0.6923736862401298
G6PDH2r,Astrocyte,0.02272648210947997
GCALDDm,Astrocyte,0.8375039845136397
GCC2am,Astrocyte,0.6764124368010225
GCC2bim,Astrocyte,0.00260943105600136
GCC2cm,Astrocyte,0.6632432763670344
GCCam,Astrocyte,0.6764124368010239
GCCbim,Astrocyte,0.002609431056008976
GCCcm,Astrocyte,0.6632432763670338
GGNG,Astrocyte,0.0227092700510071
GHMT2rm,Astrocyte,0.15775069112772533
GHMT3m,Astrocyte,0.6360111056451426
GLACOm,Astrocyte,0.837503984513639
GLBRAN,Astrocyte,0.006000946982509061
GLCt1r,Astrocyte,0.003905151624444529
GLCt2r,Astrocyte,0.12999101706985522
GLCt2rInt,Astrocyte,0.06523562744153338
GLDBRAN,Astrocyte,0.013465033990721156
GLGNS1,Astrocyte,0.02511505869182699
GLNS,Astrocyte,0.059560680124968644
GLNtN1,Astrocyte,0.08102683740470179
GLNtN1Int,Astrocyte,0.17859165342506836
GLNtm,Astrocyte,0.001978528280933998
GLPASE1,Astrocyte,0.00579696410601971
GLPASE2,Astrocyte,0.013372594693906415
GLU5Km,Astrocyte,0.034528174842761675
GLUDxm,Astrocyte,0.862430338200327
GLUDym,Astrocyte,0.8212823012958148
GLUNm,Astrocyte,0.21371432017409148
GLUTCOADHm,Astrocyte,0.6743205503714073
GLUVESSEC,Astrocyte,0.018041473190006978
GLUt2m,Astrocyte,0.8169936874924876
GLUt6,Astrocyte,0.028876625774314133
GLUt6Int,Astrocyte,0.12204222770217611
GLYATm,Astrocyte,0.0012068665570841568
GLYCLTDym,Astrocyte,0.6371296673750886
GLYCt,Astrocyte,0.06358724334303237
GLYCtInt,Astrocyte,0.026323697411527555
GLYCtm,Astrocyte,0.14628707846926997
GLYKm,Astrocyte,0.7263862433290106
GLYOXm,Astrocyte,0.7944652761569477
GLYt2r,Astrocyte,0.01929779902798489
GLYt2rInt,Astrocyte,0.048357877566842726
GLYtm,Astrocyte,0.002260693481925756
GND,Astrocyte,0.008500563578533805
GTHOm,Astrocyte,0.6449883555777892
GTHPm,Astrocyte,0.16014187368627805
H2CO3Dm,Astrocyte,0.21208608959004702
H2O2t,Astrocyte,0.03183460175888198
H2O2tInt,Astrocyte,0.0012110629943311477
H2O2tm,Astrocyte,0.0036072070277142643
H2Ot,Astrocyte,0.007727218299396793
H2OtInt,Astrocyte,0.0027250545515244786
H2Otm,Astrocyte,0.16754788136451101
HACD1m,Astrocyte,0.6693290720980186
HACD9m,Astrocyte,0.6683013257991746
HBZOPT10m,Astrocyte,0.06352949429513524
HCO3Em,Astrocyte,0.8363074878426433
HIBDm,Astrocyte,0.6687406761136513
HMBS,Astrocyte,0.009118624760891004
HMGCOASim,Astrocyte,0.8874657477923913
HMGLm,Astrocyte,0.002333162607057952
HPROxm,Astrocyte,0.6684561149332096
Ht,Astrocyte,0.01904707828354345
HtInt,Astrocyte,0.04590333648129464
Htm,Astrocyte,0.7986338851296917
ICDHxm,Astrocyte,0.08657803317542558
ICDHyrm,Astrocyte,0.05151977699464939
ILETA,Astrocyte,0.03908825278430939
ILETAm,Astrocyte,0.008248235796743723
ILEt5m,Astrocyte,9.438412107375618e-4
ILEtec,Astrocyte,0.03307736195333221
ILEtecInt,Astrocyte,0.001852063187652819
IMACTDm,Astrocyte,0.8375039845136429
ITCOAL1m,Astrocyte,0.03303132614545887
ITCOALm,Astrocyte,0.0564938428713191
Kt1r,Astrocyte,0.0010230665204352038
Kt1rInt,Astrocyte,0.0014538187508011024
LLACt2r,Astrocyte,0.02529587316004202
LLACt2rInt,Astrocyte,0.05103754991128841
LLACtm,Astrocyte,0.7890092123243915
LCADiDm,Astrocyte,0.8448238729773327
LCADim,Astrocyte,0.821911538476025
LCYSTATm,Astrocyte,0.00823232481146039
LDHL,Astrocyte,0.01995515654105238
LDHLm,Astrocyte,0.6595770544965617
LEUTA,Astrocyte,0.03907872886232596
LEUTAm,Astrocyte,0.008248279323542987
LEUt5m,Astrocyte,9.438415296541124e-4
LEUtec,Astrocyte,0.033077356042029014
LEUtecInt,Astrocyte,0.001856546026718093
LSOProd,Astrocyte,0.016085584344200658
LYStiDF,Astrocyte,0.003567506313226071
LYStiDFInt,Astrocyte,0.001250060757230483
LYStm,Astrocyte,0.8127425783509623
LacLtm,Astrocyte,0.00218503862646838
MALSO3tm,Astrocyte,0.001262978140092239
MALSO4tm,Astrocyte,0.004260679052541116
MALTSULtm,Astrocyte,0.0012410524790759897
MALtm,Astrocyte,0.012983973033125791
MCCCrm,Astrocyte,0.7324619678570788
MDH,Astrocyte,0.024465797353802797
MDHm,Astrocyte,0.6779262115420567
MECOALm,Astrocyte,0.056493842871320976
MECOAS1m,Astrocyte,0.033031326145459027
MGCHrm,Astrocyte,0.15302475208036417
MMCDm,Astrocyte,0.6931253234632369
MMEm,Astrocyte,0.0033046217689765597
MMMm,Astrocyte,6.881400770060692e-4
MMSAD1m,Astrocyte,0.0955557401223646
MMSAD3m,Astrocyte,0.10567560727225138
MTDNAdpolym,Astrocyte,0.7825489914695706
MTDNAploym,Astrocyte,0.002673292050011333
MTHFCm,Astrocyte,0.7980738722007132
MTHFDm,Astrocyte,0.01380609688341874
"NABTNOm",Astrocyte,0.8375039845136402
NDPK1,Astrocyte,0.0018087088398040822
NDPK10m,Astrocyte,0.00942845014322548
NDPK1m,Astrocyte,0.011599856123941729
NDPK2m,Astrocyte,0.009428450143251523
NDPK3m,Astrocyte,0.012172951460361183
NDPK4m,Astrocyte,0.008763947987482626
NDPK5m,Astrocyte,0.008763947987467867
NDPK6m,Astrocyte,0.01245184666011153
NDPK7m,Astrocyte,0.00876394798747352
NDPK8m,Astrocyte,0.0088239372619498
NDPK9m,Astrocyte,0.009428450143241108
NH3tm,Astrocyte,0.8076533455096163
NH4t3r,Astrocyte,0.03007651230945313
NH4t3rInt,Astrocyte,0.04561319185316486
NMNATm,Astrocyte,0.7230280272344595
NNATm,Astrocyte,0.681607635535849
NTD1m,Astrocyte,0.23626807015677703
NTD2m,Astrocyte,0.24057070481559636
NTD5m,Astrocyte,0.2385998377124341
NaKt,Astrocyte,0.02660044525846638
NaKtInt,Astrocyte,0.052770054002831746
O2St,Astrocyte,0.05175755073279265
O2StInt,Astrocyte,0.014156566246402985
O2Stm,Astrocyte,0.13384693659534827
O2t,Astrocyte,0.024496268417371035
O2tInt,Astrocyte,0.0017274849749690142
O2tm,Astrocyte,0.0025121517366826613
OCOAT1m,Astrocyte,0.00233757576328431
OIVD1m,Astrocyte,0.1039246054319584
OIVD2m,Astrocyte,0.10389954410564713
OIVD3m,Astrocyte,0.10389986520288404
ORNTArm,Astrocyte,0.013254715540732338
ORNt3m,Astrocyte,0.7658574437987198
ORNt4m,Astrocyte,0.7656757827191063
ORNtiDF,Astrocyte,0.024570709575481957
ORNtiDFInt,Astrocyte,0.002361468763504554
P45011A1m,Astrocyte,0.8148977963394612
P5CDm,Astrocyte,0.8616115833618877
PCFLOPm,Astrocyte,0.02998451634344597
PCREATtmdiffir,Astrocyte,0.006103083124313023
PCm,Astrocyte,0.7474075000101107
PDHm,Astrocyte,0.11322017583226698
PEFLIP,Astrocyte,0.02735089734944291
PEFLIPInt,Astrocyte,0.02126489194871705
PEFLIPm,Astrocyte,0.024253733907088515
PETOHMmhs,Astrocyte,0.6311992295620505
PGCD,Astrocyte,0.02217940761639081
PGL,Astrocyte,0.012951600549660273
PHCDm,Astrocyte,0.8315559405336279
PHCHGSm,Astrocyte,0.7875660269372879
PHEMEtm,Astrocyte,0.056704090826297134
PHETA1m,Astrocyte,0.006274592983216053
PIt2m,Astrocyte,0.8595042556769065
PIt7,Astrocyte,0.010446630143926341
PIt7Int,Astrocyte,0.008163218782979672
PNTKm,Astrocyte,0.6944146304994376
PPA2m,Astrocyte,0.8327795710303496
PPAt,Astrocyte,0.05869931783431535
PPAtInt,Astrocyte,0.026630625329893996
PPAtm,Astrocyte,0.4640592288660837
PPBNGS,Astrocyte,0.0157531229931304
PPCOACm,Astrocyte,0.7349411965550486
PPCOAOm,Astrocyte,0.0010602051758056227
PPPG9tm,Astrocyte,0.00607212782886288
PPPGOm,Astrocyte,0.14721417821393643
PRGNLONEtm,Astrocyte,0.05663234946227564
PRO1xm,Astrocyte,0.6740679202982524
PROD2m,Astrocyte,0.6100597313879542
PROt2r,Astrocyte,0.028903463609958213
PROt2rInt,Astrocyte,0.045931157293240064
PROtm,Astrocyte,0.002932513464466018
PRPNCOAHYDm,Astrocyte,0.14413437745550128
PSDmhs,Astrocyte,0.6874410322584568
PSERT,Astrocyte,0.001690545934438739
PSFLIP,Astrocyte,0.027350897349889523
PSFLIPInt,Astrocyte,0.02126489194841602
PSFLIPm,Astrocyte,0.020135291427753332
PSPL,Astrocyte,0.02022486072226842
PYLALDOXm,Astrocyte,0.837503984513639
PYRt2m,Astrocyte,0.8061890104233864
PYRt2r,Astrocyte,0.02978795941791204
PYRt2rInt,Astrocyte,0.045268701198108476
RPE,Astrocyte,7.947304784445134e-4
RPI,Astrocyte,0.003073975195260462
SACCD3m,Astrocyte,0.8358701941842124
SACCD4m,Astrocyte,0.8196037782750621
SARCStex,Astrocyte,0.05704405499457242
SARCStexInt,Astrocyte,0.005849690084806784
SARCStm,Astrocyte,0.10221880226715134
SARDHm,Astrocyte,0.0377435941301954
SERGLNexR,Astrocyte,0.005535383480459644
SERGLNexRInt,Astrocyte,0.0028710091389906912
SERGLYexR,Astrocyte,0.003836174257024331
SERGLYexRInt,Astrocyte,0.001782241124127876
SERt4,Astrocyte,0.005101999830789511
SERt4Int,Astrocyte,0.004705681627021099
SERtm,Astrocyte,0.0014614942232464329
SLDxm,Astrocyte,0.6710152455539843
SO4HCOtex,Astrocyte,0.05562948540120849
SO4HCOtexInt,Astrocyte,8.543816498858241e-4
SPODMm,Astrocyte,0.6599847594465803
SSALxm,Astrocyte,0.8583873607229145
SUCCt2m,Astrocyte,0.010749402230325897
SUCD1m,Astrocyte,0.0016775528724383142
SUCOAS1m,Astrocyte,0.0216056609307338
SUCOASm,Astrocyte,0.0629060783368319
SULFOX,Astrocyte,0.02081964711551741
T2M26DCOAHLm,Astrocyte,0.14385400578889146
T4HCINNMFM,Astrocyte,0.15498102338570915
TALA,Astrocyte,6.1533940367455e-4
TCYNTt,Astrocyte,0.06360879500213149
TCYNTtInt,Astrocyte,0.026290235469637834
TCYNTtm,Astrocyte,0.14623239400004234
THD1m,Astrocyte,0.8515337001214413
THFtm,Astrocyte,0.022784181666777432
TKT1,Astrocyte,0.0015795486767863182
TKT2,Astrocyte,0.001007375044655042
TMDK1m,Astrocyte,0.707501484991342
TRDRm,Astrocyte,0.6294119070119923
TYRTAm,Astrocyte,0.022973643781166408
UPP3S,Astrocyte,0.0023031230060292043
UPPDC1,Astrocyte,0.02361450036448228
UREAt,Astrocyte,0.06377219634905441
UREAtInt,Astrocyte,0.026320786900357843
UREAtm,Astrocyte,0.14615485936642802
VALTA,Astrocyte,0.03908825278486458
VALTAm,Astrocyte,0.008248235218380471
VALt5m,Astrocyte,9.438412106795517e-4
VALtec,Astrocyte,0.03307736195297992
VALtecInt,Astrocyte,0.0018520631874423652
VITD2Hm,Astrocyte,0.7963174456114571
VITD2tm,Astrocyte,0.05665691174522369
VITD3Hm,Astrocyte,0.7958411201320224
VITD3tm,Astrocyte,0.008879482442101601
VITD3tm3,Astrocyte,0.008879482441393966
