,ID,cell,AbsoluteC,mean_shift_clusters
0,10FTHF5GLUtm,Astrocyte,0.037067678164931,0
1,10FTHF6GLUtm,Astrocyte,0.0370890979354319,0
2,10FTHF7GLUtm,Astrocyte,0.0566468413092564,0
3,10FTHFtm,Astrocyte,0.0023851670609868,0
4,1a2425VITD2Hm,Astrocyte,0.7933670639037366,1
5,1a2425VITD3Hm,Astrocyte,0.7933670639037385,1
6,1a25VITD2Hm,Astrocyte,0.7933670639037361,1
7,1a25VITD3Hm,Astrocyte,0.7933670639037191,1
8,2425VITD2Hm,Astrocyte,0.7939391242920593,1
9,2425VITD3Hm,Astrocyte,0.7939391438805175,1
10,25HVITD2t,Astrocyte,0.0017242035266456,0
11,25HVITD2tInt,Astrocyte,0.0,0
12,25HVITD2tin,Astrocyte,0.0017242035271935,0
13,25HVITD2tinInt,Astrocyte,3.6469477546376524e-14,0
14,25HVITD2tinm,Astrocyte,0.0048507895831094,0
15,25HVITD2tm,Astrocyte,0.0048507895835737,0
16,25HVITD3t,Astrocyte,0.0017241907488545,0
17,25HVITD3tInt,Astrocyte,6.1381490065313665e-09,0
18,25HVITD3tin,Astrocyte,0.0017241907491762,0
19,25HVITD3tinInt,Astrocyte,6.138164609761319e-09,0
20,25HVITD3tinm,Astrocyte,0.0048512771377906,0
21,25HVITD3tm,Astrocyte,0.0048512771376554,0
22,25VITD2Hm,Astrocyte,0.7939391242920506,1
23,25VITD3Hm,Astrocyte,0.7939391438805314,1
24,2AMADPTm,Astrocyte,0.0017986419493351,0
25,2OXOADOXm,Astrocyte,0.1030636630094606,0
26,2OXOADPTm,Astrocyte,0.0016012466119182,0
27,34HPLFM,Astrocyte,0.6693022132526687,1
28,3AIBTm,Astrocyte,1.0,1
29,3AIBt,Astrocyte,0.0632131223534647,0
30,3AIBtInt,Astrocyte,0.0371602674204081,0
31,3AIBtm,Astrocyte,0.1473636965806707,0
32,3DPHBH1,Astrocyte,0.8345646537441848,1
33,3DPHBH2,Astrocyte,0.794710349389229,1
34,3HBCDm,Astrocyte,0.1524210501696746,0
35,3HBCOAHLm,Astrocyte,0.8770572990735315,1
