,ID,cell,AbsoluteC,mean_shift_clusters
0,10FTHF5GLUtm,Astrocyte,0.0186716469707387,0
1,10FTHF6GLUtm,Astrocyte,0.0186714820327019,0
2,10FTHF7GLUtm,Astrocyte,0.028407699381281,0
3,10FTHFtm,Astrocyte,0.0012902231073876,0
4,1a2425VITD2Hm,Astrocyte,0.8090352182766718,1
5,1a2425VITD3Hm,Astrocyte,0.8090352182766692,1
6,1a25VITD2Hm,Astrocyte,0.8090352182766687,1
7,1a25VITD3Hm,Astrocyte,0.8090352182766679,1
8,2425VITD2Hm,Astrocyte,0.8096384188949614,1
9,2425VITD3Hm,Astrocyte,0.8096384377766328,1
10,25HVITD2t,Astrocyte,0.0009758956211754724,0
11,25HVITD2tInt,Astrocyte,0.0,0
12,25HVITD2tin,Astrocyte,0.0009758956214483514,0
13,25HVITD2tinInt,Astrocyte,1.8582593395845008e-14,0
14,25HVITD2tinm,Astrocyte,0.0024776855984102,0
15,25HVITD2tm,Astrocyte,0.0024776855986303,0
16,25HVITD3t,Astrocyte,0.0009758894251267,0
17,25HVITD3tInt,Astrocyte,3.0277600232774087e-09,0
18,25HVITD3tin,Astrocyte,0.0009758894252873674,0
19,25HVITD3tinInt,Astrocyte,3.0277674820602183e-09,0
20,25HVITD3tinm,Astrocyte,0.0024779277936297,0
21,25HVITD3tm,Astrocyte,0.0024779277935596,0
22,25VITD2Hm,Astrocyte,0.8096384188949595,1
23,25VITD3Hm,Astrocyte,0.8096384377766397,1
24,2AMADPTm,Astrocyte,0.002762327980853,0
25,2OXOADOXm,Astrocyte,0.1099214305978873,3
26,2OXOADPTm,Astrocyte,0.002241793923171,0
27,34HPLFM,Astrocyte,0.6896261814205837,2
28,3AIBTm,Astrocyte,0.1040888391481281,3
29,3AIBt,Astrocyte,0.0321904189777633,0
30,3AIBtInt,Astrocyte,0.0133134533856658,0
31,3AIBtm,Astrocyte,0.0731656315783605,3
32,3DPHBH1,Astrocyte,0.8527568835771642,1
33,3DPHBH2,Astrocyte,0.8104746012378227,1
34,3HBCDm,Astrocyte,0.1571012915914107,3
35,3HBCOAHLm,Astrocyte,0.8965418163618943,1
36,3SALAASPm,Astrocyte,0.0008360512927621744,0
37,3SALATAim,Astrocyte,0.6903570766228034,2
38,3SPYRSPm,Astrocyte,0.8095804566088466,1
39,4ABUTtm,Astrocyte,0.0018645626451813,0
40,4HBZCOAFm,Astrocyte,0.8965243534364675,1
41,4HBZFm,Astrocyte,0.8983571039290665,1
42,4HGLSDm,Astrocyte,0.8497425500215484,1
43,5AOPtm,Astrocyte,0.0031066783008668,0
44,5HOXINDACTOXm,Astrocyte,0.8560061859770988,1
45,5THFtm,Astrocyte,0.0186711142091247,0
46,6DHFtm,Astrocyte,0.0186716183511183,0
47,6THFtm,Astrocyte,0.0186714819213946,0
48,7DHFtm,Astrocyte,0.0284076993840519,0
49,7THFtm,Astrocyte,0.0284076993809901,0
50,AACOAT,Astrocyte,0.0112990230164063,0
51,AACTOOR,Astrocyte,0.0192720526396057,0
52,AACTtm,Astrocyte,0.0030377690948049,0
53,AASAD3m,Astrocyte,0.8574029644149653,1
54,AATAi,Astrocyte,0.0007847509389710761,0
55,ABTArm,Astrocyte,0.0110975355386766,0
56,ABUTt2r,Astrocyte,0.0507067931610102,0
57,ABUTt2rInt,Astrocyte,0.0428935671798253,0
58,ACACT10m,Astrocyte,0.0012146278086283,0
59,ACACT1r,Astrocyte,0.0077203799091448,0
60,ACACT1rm,Astrocyte,0.0035747406941125,0
61,ACACt2,Astrocyte,0.0512826200543137,0
62,ACACt2Int,Astrocyte,0.0427506678123145,0
63,ACACt2m,Astrocyte,0.8942946245319081,1
64,ACALDt,Astrocyte,0.0119050433021751,0
65,ACALDtInt,Astrocyte,0.000963757346936401,0
66,ACALDtm,Astrocyte,0.0006675858108114981,0
67,ACCOALm,Astrocyte,0.122674848411864,3
68,ACOAD10m,Astrocyte,0.0012287426792027,0
69,ACOAD1fm,Astrocyte,0.0012435704503487,0
70,ACOAD8m,Astrocyte,0.001337683192199,0
71,ACOAD9m,Astrocyte,0.0012276554630037,0
72,ACONTm,Astrocyte,0.0008540966902702419,0
73,ACRNtm,Astrocyte,0.0076998082795781,0
74,ACSm,Astrocyte,0.0704986343104504,0
75,ACt2m,Astrocyte,0.898640257592652,1
76,ACt2r,Astrocyte,0.0509790995847128,0
77,ACt2rInt,Astrocyte,0.0428425322547256,0
78,ADCim,Astrocyte,0.699180221939107,2
79,ADK1,Astrocyte,0.002096670342764,0
80,ADK1m,Astrocyte,0.0202159934384278,0
81,ADK3m,Astrocyte,0.0091999882859896,0
