,fluxes,reduced_costs,name,stoichiometry
GLCt1r,3.452112,66.51999999999998,glucose transport (uniport) Astrocyte,glc-D[e] --> glc-D[cA]
GLCt2r,0.0,66.51999999999998,D-glucose transport in via proton symport Astrocyte,glc-D[e] + h[e] --> glc-D[cA] + h[cA]
GLCt2r_Int,0.0,66.51999999999998,D-glucose transport in via proton symport Interstitial And Synapse,glc-D[I] + h[I] --> glc-D[cA] + h[cA]
GLCt1r_Neuron,2.120199,60.0,Glucose transporter_Neuron,glc-D[e] --> glc-D[cN]
GLUt6,0.0,27.87000000000001,"Glutamate transport via Na, H symport and K antiport Astrocyte",glu-L[e] + h[e] + k[cA] + 3.0 na1[e] --> glu-L[cA] + h[cA] + k[e] + 3.0 na1[cA]
GLNtN1,0.0,15.339999999999998,Glutamine transporter Astrocyte,gln-L[e] + h[cA] + na1[e] --> gln-L[cA] + h[e] + na1[cA]
ATPS4m,-0.01666,8.629999999999999,ATP synthase (four protons for one ATP) Astrocyte,adp[mA] + 4.0 h[cA] + pi[mA] <-- atp[mA] + h2o[mA] + 3.0 h[mA]
PYRt2r_Int,0.0,3.4999999999999964,pyruvate reversible transport via proton symport Interstitial And Synapse,h[I] + pyr[I] --> h[cA] + pyr[cA]
L-LACtm_Neuron,0.0,0.5,"L-lactate transport, mitochondrial Neuron",h[cN] + lac-L[cN] --> h[mN] + lac-L[mN]
GLUDym_Neuron,0.0,0.5,"glutamate dehydrogenase (NADP), mitochondrial Neuron",glu-L[mN] + h2o[mN] + nadp[mN] --> akg[mN] + h[mN] + nadph[mN] + nh4[mN]
ASNt4_Neuron,0.0,0.240000000000002,L-asparagine transport in via sodium symport Neuron,asn-L[I] + na1[I] --> asn-L[cN] + na1[cN]
MTDNAploym,0.0,2.9103830456733704e-11,polymerization of mtDNA Astrocyte,9218.0 datp[mA] + 7350.0 dctp[mA] + 7350.0 dgtp[mA] + 9218.0 dttp[mA] + mtDNAn-1[mA] --> mtDNAn[mA] + 33136.0 ppi[mA]
MTDNAploym_Neuron,0.0,1.4551915228366852e-11,polymerization of mtDNA Neuron,9218.0 datp[mN] + 7350.0 dctp[mN] + 7350.0 dgtp[mN] + 9218.0 dttp[mN] + mtDNAn-1[mN] --> mtDNAn[mN] + 33136.0 ppi[mN]
SERt4,0.0,-0.4199999999999964,L-serine via sodium symport Astrocyte,na1[e] + ser-L[e] --> na1[cA] + ser-L[cA]
SERt4_Int,0.0,-0.41999999999999693,L-serine via sodium symport Interstitial And Synapse,na1[I] + ser-L[I] --> na1[cA] + ser-L[cA]
ASNt4_Int,0.0,-0.41999999999999693,L-asparagine transport in via sodium symport Interstitial And Synapse,asn-L[I] + na1[I] --> asn-L[cA] + na1[cA]
ASNt4,0.0,-0.41999999999999693,L-asparagine transport in via sodium symport Astrocyte,asn-L[e] + na1[e] --> asn-L[cA] + na1[cA]
3DPHBH2_Neuron,0.0,-0.5,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH) Neuron,3dphb[mN] + h[mN] + nadph[mN] + o2[mN] --> 3dpdhb[mN] + h2o[mN] + nadp[mN]
ALDD2x_Neuron,0.0,-0.5,"aldehyde dehydrogenase (acetaldehyde, NAD) Neuron",acald[cN] + h2o[cN] + nad[cN] --> ac[cN] + 2.0 h[cN] + nadh[cN]
Htm_Neuron,0.0,-0.5,Uncoupling protein Neuron,h[cN] --> h[mN]
ME2m_Neuron,0.0,-0.5,"malic enzyme (NADP), mitochondrial Neuron",mal-L[mN] + nadp[mN] --> co2[mN] + nadph[mN] + pyr[mN]
ICDHxm_Neuron,0.0,-0.5,Isocitrate dehydrogenase (NAD+) Neuron,icit[mN] + nad[mN] --> akg[mN] + co2[mN] + nadh[mN]
LSOProd_Neuron,0.0,-0.5,Lumped superoxide production Neuron,focytC[mN] + o2[mN] --> ficytC[mN] + o2s[mN]
ALCD2if,0.0,-0.5433333333333294,"alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde) Astrocyte",etoh[cA] + nad[cA] --> acald[cA] + h[cA] + nadh[cA]
ALCD2yf_Neuron,0.0,-0.543333333333333,"alcohol dehydrogenase (ethanol, NADP), forward reaction Neuron",etoh[cN] + nadp[cN] --> acald[cN] + h[cN] + nadph[cN]
ORNtiDF_Int,0.0,-0.6099999999999959,ornithine transport via diffusion (extracellular to cytosol) Interstitial And Synapse,orn[I] --> orn[cA]
AATAi,0.0,-0.75,"2-aminoadipate transaminase, irreversible Astrocyte",L2aadp[cA] + akg[cA] --> 2oxoadp[cA] + glu-L[cA]
P45011A1m,0.0,-1.0,"Cytochrome P450 11A1, mitochondrial [Precursor] Astrocyte",chsterol[mA] + h[mA] + nadph[mA] + 2.0 o2[mA] --> 4mptnl[mA] + 2.0 h2o[mA] + nadp[mA] + prgnlone[mA]
GTHOm,0.0,-1.0,glutathione oxidoreductase Astrocyte,gthox[mA] + h[mA] + nadph[mA] --> 2.0 gthrd[mA] + nadp[mA]
SPODMm,0.0,-1.0,superoxide dismutase Astrocyte,2.0 h[mA] + 2.0 o2s[mA] --> h2o2[mA] + o2[mA]
ALCD2if_Neuron,0.0,-1.043333333333333,"alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde) Neuron",etoh[cN] + nad[cN] --> acald[cN] + h[cN] + nadh[cN]
PDHm,0.0,-1.1850000000000023,pyruvate dehydrogenase Astrocyte,coa[mA] + nad[mA] + pyr[mA] --> accoa[mA] + co2[mA] + nadh[mA]
PEFLIP,0.0,-1.259999999999991,phosphatidylethanolamine flippase Astrocyte,atp[cA] + h2o[cA] + pe_hs[e] --> adp[cA] + h[cA] + pe_hs[cA] + pi[cA]
PEFLIPm,0.0,-1.259999999999991,phosphatidylethanolamine flippase Astrocyte,atp[cA] + h2o[cA] + pe_hs[cA] --> adp[cA] + h[cA] + pe_hs[mA] + pi[cA]
PSFLIPm,0.0,-1.259999999999991,phosphatidylserine flippase Astrocyte,atp[cA] + h2o[cA] + ps_hs[cA] --> adp[cA] + h[cA] + pi[cA] + ps_hs[mA]
PSFLIP_Int,0.0,-1.259999999999991,phosphatidylserine flippase Interstitial And Synapse,atp[cA] + h2o[cA] + ps_hs[I] --> adp[cA] + h[cA] + pi[cA] + ps_hs[cA]
PCFLOPm,0.0,-1.259999999999991,phosphatidylcholine flippase Astrocyte,atp[cA] + h2o[cA] + pchol_hs[mA] --> adp[cA] + h[cA] + pchol_hs[cA] + pi[cA]
GLUNm,0.0,-1.259999999999991,glutaminase (mitochondrial) Astrocyte,gln-L[mA] + h2o[mA] --> glu-L[mA] + nh4[mA]
PSFLIP,0.0,-1.259999999999991,phosphatidylserine flippase Astrocyte,atp[cA] + h2o[cA] + ps_hs[e] --> adp[cA] + h[cA] + pi[cA] + ps_hs[cA]
PEFLIP_Int,0.0,-1.259999999999991,phosphatidylethanolamine flippase Interstitial And Synapse,atp[cA] + h2o[cA] + pe_hs[I] --> adp[cA] + h[cA] + pe_hs[cA] + pi[cA]
DPGase,0.0,-1.2599999999999945,Diphosphoglycerate phosphatase Astrocyte,23dpg[cA] + h2o[cA] --> 3pg[cA] + pi[cA]
ACYP,0.0,-1.2599999999999945,acylphosphatase Astrocyte,13dpg[cA] + h2o[cA] --> 3pg[cA] + h[cA] + pi[cA]
3AIBtm,0.0,-1.379999999999999,"3-amino-isobutyrate transport, mitochondrial Astrocyte",3aib[mA] --> 3aib[cA]
P5CDm_Neuron,0.0,-1.8800000000000132,"1-pyrroline-5-carboxylate dehydrogenase, mitochondrial Neuron",1pyr5c[mN] + 2.0 h2o[mN] + nad[mN] --> glu-L[mN] + h[mN] + nadh[mN]
MMSAD3m,0.0,-1.931666666666672,"methylmalonate-semialdehyde dehydrogenase (malonic semialdehyde), mitochondrial Astrocyte",coa[mA] + msa[mA] + nad[mA] --> accoa[mA] + co2[mA] + nadh[mA]
CYOOm2,0.0,-2.0,"cytochrome c oxidase, mitochondrial Complex IV Astrocyte",4.0 focytC[mA] + 8.0 h[mA] + o2[mA] --> 4.0 ficytC[mA] + 2.0 h2o[mA] + 4.0 h[cA]
PCFLOPm_Neuron,0.0,-2.0,phosphatidylcholine flippase Neuron,atp[cN] + h2o[cN] + pchol_hs[mN] --> adp[cN] + h[cN] + pchol_hs[cN] + pi[cN]
TMDK1m_Neuron,0.0,-2.0,thymidine kinase (ATP:thymidine) Neuron,atp[mN] + thymd[mN] --> adp[mN] + dtmp[mN] + h[mN]
PSFLIP_Neuron,0.0,-2.0,phosphatidylserine flippase Neuron,atp[cN] + h2o[cN] + ps_hs[I] --> adp[cN] + h[cN] + pi[cN] + ps_hs[cN]
DPGM_Neuron,0.0,-2.0,Diphosphoglyceromutase Neuron,13dpg[cN] --> 23dpg[cN] + h[cN]
PSFLIPm_Neuron,0.0,-2.0,phosphatidylserine flippase Neuron,atp[cN] + h2o[cN] + ps_hs[cN] --> adp[cN] + h[cN] + pi[cN] + ps_hs[mN]
PEFLIP_Neuron,0.0,-2.0,phosphatidylethanolamine flippase Neuron,atp[cN] + h2o[cN] + pe_hs[I] --> adp[cN] + h[cN] + pe_hs[cN] + pi[cN]
DURIK1m_Neuron,0.0,-2.0,"deoxyuridine kinase (ATP:Deoxyuridine), mitochondrial Neuron",atp[mN] + duri[mN] --> adp[mN] + dump[mN] + h[mN]
MMCDm_Neuron,0.0,-2.0,"Methylmalonyl-CoA decarboxylase, mitochondrial Neuron",h[mN] + mmcoa-S[mN] --> co2[mN] + ppcoa[mN]
ADK1_Neuron,0.0,-2.0,adenylate kinase Neuron,amp[cN] + atp[cN] --> 2.0 adp[cN]
PROD2m_Neuron,0.0,-2.0,Proline dehydrogenase (m) Neuron,fad[mN] + pro-L[mN] --> 1pyr5c[mN] + fadh2[mN] + h[mN]
SUCOASm_Neuron,0.0,-2.0,Succinate--CoA ligase (ADP-forming) Neuron,atp[mN] + coa[mN] + succ[mN] --> adp[mN] + pi[mN] + succoa[mN]
SUCOAS1m_Neuron,0.0,-2.0,Succinate--CoA ligase (GDP-forming) Neuron,coa[mN] + gtp[mN] + succ[mN] --> gdp[mN] + pi[mN] + succoa[mN]
ACYP_Neuron,0.0,-2.0,acylphosphatase Neuron,13dpg[cN] + h2o[cN] --> 3pg[cN] + h[cN] + pi[cN]
NDPK1_Neuron,0.0,-2.0,GTP-ADP Phosphotransferase Neuron,atp[cN] + gdp[cN] --> adp[cN] + gtp[cN]
OIVD1m_Neuron,0.0,-2.305000000000007,"2-oxoisovalerate dehydrogenase (acylating; 4-methyl-2-oxopentaoate), mitochondrial Neuron",4mop[mN] + coa[mN] + nad[mN] --> co2[mN] + ivcoa[mN] + nadh[mN]
PEFLIPm_Neuron,0.0,-2.5,phosphatidylethanolamine flippase Neuron,atp[cN] + h2o[cN] + pe_hs[cN] --> adp[cN] + h[cN] + pe_hs[mN] + pi[cN]
CYSGLUexR_Int,0.0,-2.519999999999996,L-cysteine/L-glutamine reversible exchanger Interstitial And Synapse,cys-L[I] + gln-L[cA] --> cys-L[cA] + gln-L[I]
