ID,cell,AbsoluteC
10FTHF5GLUtmNeuron,Neuron,0.018757825670911204
10FTHF6GLUtmNeuron,Neuron,0.018757653439339474
10FTHF7GLUtmNeuron,Neuron,0.028469027441852698
10FTHFtmNeuron,Neuron,0.0018495180481413367
1a2425VITD2HmNeuron,Neuron,0.5492556398113366
1a2425VITD3HmNeuron,Neuron,0.5492556398113381
1a25VITD2HmNeuron,Neuron,0.5492556398113381
1a25VITD3HmNeuron,Neuron,0.5492556398113378
2425VITD2HmNeuron,Neuron,0.5496326041909944
2425VITD3HmNeuron,Neuron,0.54963261793579965
25HVITD2tNeuron,Neuron,1.9735758234127535e-4
25HVITD2tinNeuron,Neuron,1.9735758207031927e-4
25HVITD2tinmNeuron,Neuron,7.745862350682976e-4
25HVITD2tmNeuron,Neuron,7.745862352422126e-4
25HVITD3tNeuron,Neuron,1.9732601333914525e-4
25HVITD3tinNeuron,Neuron,1.973260133419615e-4
25HVITD3tinmNeuron,Neuron,7.747111916688418e-4
25HVITD3tmNeuron,Neuron,0.00077471119167471395
25VITD2HmNeuron,Neuron,0.5496326041909944
25VITD3HmNeuron,Neuron,0.5496326179357998
2AMADPTmNeuron,Neuron,0.002922468144261197
2OXOADOXmNeuron,Neuron,0.1062273027631037
2OXOADPTmNeuron,Neuron,0.002386185477750312
34HPLFMNeuron,Neuron,0.5043550563702497
3AIBTmNeuron,Neuron,0.05894241526733557
3AIBtNeuron,Neuron,0.003913387266884375
3AIBtmNeuron,Neuron,0.02015567924513187
3DPHBH1Neuron,Neuron,0.5689600526648255
3DPHBH2Neuron,Neuron,0.5501341813126243
3HBCDmNeuron,Neuron,0.14945927866220568
3HBCOAHLmNeuron,Neuron,0.5856888640178936
3SALAASPmNeuron,Neuron,9.434593649009869e-4
3SALATAimNeuron,Neuron,0.504614890166659
3SPYRSPmNeuron,Neuron,0.549473888380089
4ABUTtmNeuron,Neuron,0.0031488658791422866
4HBZCOAFmNeuron,Neuron,0.5921664462795901
4HBZFmNeuron,Neuron,0.5867915988703258
4HGLSDmNeuron,Neuron,0.5671080512550646
5AOPtmNeuron,Neuron,0.0031718384769547593
5HOXINDACTOXmNeuron,Neuron,0.5640901481784619
5THFtmNeuron,Neuron,0.018757284155036247
6DHFtmNeuron,Neuron,0.018757790714039463
6THFtmNeuron,Neuron,0.018757653312712813
7DHFtmNeuron,Neuron,0.02846902744384736
7THFtmNeuron,Neuron,0.028469027441138148
AA2,Neuron,0.0010601436536323522
AACOATNeuron,Neuron,0.011124904011830522
AACTOORNeuron,Neuron,0.009768504387941874
AACTtmNeuron,Neuron,0.0031000896034972195
AASAD3mNeuron,Neuron,0.5649476175337281
AATAiNeuron,Neuron,7.882968618558368e-4
AAH2Otneuron,Neuron,0.00596368993369669
AAPIt7neuron,Neuron,0.010008953581916974
