ID,cell,AbsoluteC
10FTHF5GLUtmNeuron,Neuron,0.037228055609904324
10FTHF6GLUtmNeuron,Neuron,0.03722770814604004
10FTHF7GLUtmNeuron,Neuron,0.05676769258612559
10FTHFtmNeuron,Neuron,0.0032197194951355916
1a2425VITD2HmNeuron,Neuron,0.5120917429309723
1a2425VITD3HmNeuron,Neuron,0.512091742930979
1a25VITD2HmNeuron,Neuron,0.5120917429309785
1a25VITD3HmNeuron,Neuron,0.5120917429309777
2425VITD2HmNeuron,Neuron,0.512391457664918
2425VITD3HmNeuron,Neuron,0.51239147139243
25HVITD2tNeuron,Neuron,3.2142366690112486e-4
25HVITD2tinNeuron,Neuron,3.2142366634830644e-4
25HVITD2tinmNeuron,Neuron,8.403662460783917e-4
25HVITD2tmNeuron,Neuron,8.403662464518486e-4
25HVITD3tNeuron,Neuron,3.213587516313658e-4
25HVITD3tinNeuron,Neuron,3.213587516371096e-4
25HVITD3tinmNeuron,Neuron,8.406283414480753e-4
25HVITD3tmNeuron,Neuron,8.406283414698333e-4
25VITD2HmNeuron,Neuron,0.5123914576649186
25VITD3HmNeuron,Neuron,0.512391471392431
2AMADPTmNeuron,Neuron,0.0017427953120980853
2OXOADOXmNeuron,Neuron,0.09640134415488938
2OXOADPTmNeuron,Neuron,0.0014154741952495681
34HPLFMNeuron,Neuron,0.4669751322286227
3AIBTmNeuron,Neuron,0.12425968457287365
3AIBtNeuron,Neuron,0.01742249177732445
3AIBtmNeuron,Neuron,0.05016482683745243
3DPHBH1Neuron,Neuron,0.5320685784395456
3DPHBH2Neuron,Neuron,0.5009184263450216
3HBCDmNeuron,Neuron,0.1327306116688471
3HBCOAHLmNeuron,Neuron,0.547641515078498
3SALAASPmNeuron,Neuron,0.0010169163382671347
3SALATAimNeuron,Neuron,0.4664109133516655
3SPYRSPmNeuron,Neuron,0.5093801068475126
4ABUTtmNeuron,Neuron,0.006013664537191113
4HBZCOAFmNeuron,Neuron,0.5549386538831644
4HBZFmNeuron,Neuron,0.5487520421795391
4HGLSDmNeuron,Neuron,0.5273189520308357
5AOPtmNeuron,Neuron,0.005904634493899153
5HOXINDACTOXmNeuron,Neuron,0.5243850387860831
5THFtmNeuron,Neuron,0.03722696343432792
6DHFtmNeuron,Neuron,0.03722798564621549
6THFtmNeuron,Neuron,0.03722770798010937
7DHFtmNeuron,Neuron,0.05676769259011568
7THFtmNeuron,Neuron,0.05676769258520943
AA2,Neuron,0.002910411813518979
AACOATNeuron,Neuron,0.02001072381017483
AACTOORNeuron,Neuron,0.01385290187407868
AACTtmNeuron,Neuron,0.005783932989943923
AASAD3mNeuron,Neuron,0.5252265908495684
AATAiNeuron,Neuron,8.87317729873024e-4
AAH2Otneuron,Neuron,0.006915659243683308
AAPIt7neuron,Neuron,0.01917041157417144
ABTArmNeuron,Neuron,0.011197694456785041
ABUTt2rNeuron,Neuron,0.12336591795488329
ACACT10mNeuron,Neuron,0.012455283034831009
ACACT1rNeuron,Neuron,0.015540156258405217
ACACT1rmNeuron,Neuron,0.009030665750829057
ACACt2Neuron,Neuron,0.12999385469426905
ACACt2mNeuron,Neuron,0.5631257541642991
