,ID,cell,AbsoluteC,mean_shift_clusters
0,10FTHF5GLUtmNeuron,Neuron,0.0372280556099043,0
1,10FTHF6GLUtmNeuron,Neuron,0.03722770814604,0
2,10FTHF7GLUtmNeuron,Neuron,0.0567676925861255,0
3,10FTHFtmNeuron,Neuron,0.0032197194951355,0
4,1a2425VITD2HmNeuron,Neuron,0.5120917429309723,1
5,1a2425VITD3HmNeuron,Neuron,0.512091742930979,1
6,1a25VITD2HmNeuron,Neuron,0.5120917429309785,1
7,1a25VITD3HmNeuron,Neuron,0.5120917429309777,1
8,2425VITD2HmNeuron,Neuron,0.512391457664918,1
9,2425VITD3HmNeuron,Neuron,0.51239147139243,1
10,25HVITD2tNeuron,Neuron,0.00032142366690112486,0
11,25HVITD2tinNeuron,Neuron,0.00032142366634830644,0
12,25HVITD2tinmNeuron,Neuron,0.0008403662460783917,0
13,25HVITD2tmNeuron,Neuron,0.0008403662464518486,0
14,25HVITD3tNeuron,Neuron,0.0003213587516313658,0
15,25HVITD3tinNeuron,Neuron,0.0003213587516371096,0
16,25HVITD3tinmNeuron,Neuron,0.0008406283414480753,0
17,25HVITD3tmNeuron,Neuron,0.0008406283414698333,0
18,25VITD2HmNeuron,Neuron,0.5123914576649186,1
19,25VITD3HmNeuron,Neuron,0.512391471392431,1
20,2AMADPTmNeuron,Neuron,0.001742795312098,0
21,2OXOADOXmNeuron,Neuron,0.0964013441548893,2
22,2OXOADPTmNeuron,Neuron,0.0014154741952495,0
23,34HPLFMNeuron,Neuron,0.4669751322286227,1
24,3AIBTmNeuron,Neuron,0.1242596845728736,2
25,3AIBtNeuron,Neuron,0.0174224917773244,0
26,3AIBtmNeuron,Neuron,0.0501648268374524,0
27,3DPHBH1Neuron,Neuron,0.5320685784395456,1
28,3DPHBH2Neuron,Neuron,0.5009184263450216,1
29,3HBCDmNeuron,Neuron,0.1327306116688471,2
30,3HBCOAHLmNeuron,Neuron,0.547641515078498,1
31,3SALAASPmNeuron,Neuron,0.0010169163382671,0
32,3SALATAimNeuron,Neuron,0.4664109133516655,1
33,3SPYRSPmNeuron,Neuron,0.5093801068475126,1
34,4ABUTtmNeuron,Neuron,0.0060136645371911,0
35,4HBZCOAFmNeuron,Neuron,0.5549386538831644,1
36,4HBZFmNeuron,Neuron,0.5487520421795391,1
37,4HGLSDmNeuron,Neuron,0.5273189520308357,1
38,5AOPtmNeuron,Neuron,0.0059046344938991,0
39,5HOXINDACTOXmNeuron,Neuron,0.5243850387860831,1
40,5THFtmNeuron,Neuron,0.0372269634343279,0
41,6DHFtmNeuron,Neuron,0.0372279856462154,0
42,6THFtmNeuron,Neuron,0.0372277079801093,0
43,7DHFtmNeuron,Neuron,0.0567676925901156,0
44,7THFtmNeuron,Neuron,0.0567676925852094,0
45,AA2,Neuron,0.0029104118135189,0
46,AACOATNeuron,Neuron,0.0200107238101748,0
47,AACTOORNeuron,Neuron,0.0138529018740786,0
48,AACTtmNeuron,Neuron,0.0057839329899439,0
49,AASAD3mNeuron,Neuron,0.5252265908495684,1
50,AATAiNeuron,Neuron,0.000887317729873024,0
51,AAH2Otneuron,Neuron,0.0069156592436833,0
52,AAPIt7neuron,Neuron,0.0191704115741714,0
53,ABTArmNeuron,Neuron,0.011197694456785,0
54,ABUTt2rNeuron,Neuron,0.1233659179548832,2
55,ACACT10mNeuron,Neuron,0.012455283034831,0
56,ACACT1rNeuron,Neuron,0.0155401562584052,0
57,ACACT1rmNeuron,Neuron,0.009030665750829,0
58,ACACt2Neuron,Neuron,0.129993854694269,2
59,ACACt2mNeuron,Neuron,0.5631257541642991,1
60,ACALDtNeuron,Neuron,0.0013444729191673,0
61,ACALDtmNeuron,Neuron,0.0010402687991054,0
62,ACCOALmNeuron,Neuron,0.1496360118243,2
63,ACOAD10mNeuron,Neuron,0.00047060767761676094,0
64,ACOAD1fmNeuron,Neuron,0.00047470696681643375,0
65,ACOAD8mNeuron,Neuron,0.0005188121307882409,0
66,ACOAD9mNeuron,Neuron,0.00047027129381842735,0
67,ACONTmNeuron,Neuron,0.0013217666948015,0
68,ACRNtmNeuron,Neuron,0.0154139954325795,0
69,ACSmNeuron,Neuron,0.0637083053882102,0
70,ACt2mNeuron,Neuron,0.5563373534535507,1
71,ADCimNeuron,Neuron,0.4561893593605105,1
72,ADK1Neuron,Neuron,0.0012165816544982,0
73,ADK1mNeuron,Neuron,0.0297546553557757,0
74,ADK3mNeuron,Neuron,0.0200022729910741,0
75,ADPRDPmNeuron,Neuron,0.5127033970134531,1
76,AGMTmNeuron,Neuron,0.1767615302900527,2
77,AGPRimNeuron,Neuron,0.4784531979137122,1
