,ID,cell,AbsoluteC,mean_shift_clusters
0,10FTHF5GLUtmNeuron,Neuron,0.0187578256709112,0
1,10FTHF6GLUtmNeuron,Neuron,0.0187576534393394,0
2,10FTHF7GLUtmNeuron,Neuron,0.0284690274418526,0
3,10FTHFtmNeuron,Neuron,0.0018495180481413,0
4,1a2425VITD2HmNeuron,Neuron,0.5492556398113366,2
5,1a2425VITD3HmNeuron,Neuron,0.5492556398113381,2
6,1a25VITD2HmNeuron,Neuron,0.5492556398113381,2
7,1a25VITD3HmNeuron,Neuron,0.5492556398113378,2
8,2425VITD2HmNeuron,Neuron,0.5496326041909944,2
9,2425VITD3HmNeuron,Neuron,0.5496326179357996,2
10,25HVITD2tNeuron,Neuron,0.00019735758234127533,0
11,25HVITD2tinNeuron,Neuron,0.00019735758207031927,0
12,25HVITD2tinmNeuron,Neuron,0.0007745862350682976,0
13,25HVITD2tmNeuron,Neuron,0.0007745862352422126,0
14,25HVITD3tNeuron,Neuron,0.00019732601333914525,0
15,25HVITD3tinNeuron,Neuron,0.0001973260133419615,0
16,25HVITD3tinmNeuron,Neuron,0.0007747111916688418,0
17,25HVITD3tmNeuron,Neuron,0.0007747111916747,0
18,25VITD2HmNeuron,Neuron,0.5496326041909944,2
19,25VITD3HmNeuron,Neuron,0.5496326179357998,2
20,2AMADPTmNeuron,Neuron,0.0029224681442611,0
21,2OXOADOXmNeuron,Neuron,0.1062273027631037,3
22,2OXOADPTmNeuron,Neuron,0.0023861854777503,0
23,34HPLFMNeuron,Neuron,0.5043550563702497,1
24,3AIBTmNeuron,Neuron,0.0589424152673355,3
25,3AIBtNeuron,Neuron,0.0039133872668843,0
26,3AIBtmNeuron,Neuron,0.0201556792451318,0
27,3DPHBH1Neuron,Neuron,0.5689600526648255,2
28,3DPHBH2Neuron,Neuron,0.5501341813126243,2
29,3HBCDmNeuron,Neuron,0.1494592786622056,4
30,3HBCOAHLmNeuron,Neuron,0.5856888640178936,2
31,3SALAASPmNeuron,Neuron,0.0009434593649009868,0
32,3SALATAimNeuron,Neuron,0.504614890166659,1
33,3SPYRSPmNeuron,Neuron,0.549473888380089,2
34,4ABUTtmNeuron,Neuron,0.0031488658791422,0
35,4HBZCOAFmNeuron,Neuron,0.5921664462795901,2
36,4HBZFmNeuron,Neuron,0.5867915988703258,2
37,4HGLSDmNeuron,Neuron,0.5671080512550646,2
38,5AOPtmNeuron,Neuron,0.0031718384769547,0
39,5HOXINDACTOXmNeuron,Neuron,0.5640901481784619,2
40,5THFtmNeuron,Neuron,0.0187572841550362,0
41,6DHFtmNeuron,Neuron,0.0187577907140394,0
