,ID,cell,AbsoluteOP,mean_shift_clusters
0,3DPHBH2_Neuron,Neuron,0.4949329230945269,0
1,AACOAT_Neuron,Neuron,7.328436921772875,1
2,AACTOOR_Neuron,Neuron,2.944664231432081,0
3,ACACt2_Neuron,Neuron,2.8872709503576206,0
4,ACONTm_Neuron,Neuron,4.836353837476988,1
5,ACYP_Neuron,Neuron,1.762747174039086,0
6,ADK1_Neuron,Neuron,1.762747174039086,0
7,AKGDm_Neuron,Neuron,4.836353837476988,1
8,AKGMALtm_Neuron,Neuron,4.836353837476988,1
9,ALCD2if_Neuron,Neuron,1.001013269096505,0
10,ALCD2yf_Neuron,Neuron,0.5368627547838033,0
11,ALDD2x_Neuron,Neuron,0.4949329230945269,0
12,ASNt4_Neuron,Neuron,0.2394277007975567,0
13,ASPGLUm_Neuron,Neuron,4.839296609725069,1
14,ASPTA_Neuron,Neuron,4.839296609725069,1
15,ASPTAm_Neuron,Neuron,4.839296609725069,1
16,ATPS4m_Neuron,Neuron,10.099042933379549,1
17,ATPtm_Neuron,Neuron,10.099042933379549,1
18,CO2t_Neuron,Neuron,7.019930408984572,1
19,CO2tm_Neuron,Neuron,7.019930408984572,1
20,CSm_Neuron,Neuron,4.836353837476988,1
21,CYOOm2_Neuron,Neuron,7.019681565993103,1
22,CYOR-u10m_Neuron,Neuron,8.404634612109541,1
23,CYSGLYexR_Neuron,Neuron,0.0083299759164573,0
24,CYStec_Neuron,Neuron,0.0083299759164573,0
25,DPGM_Neuron,Neuron,1.762747174039086,0
26,DURIK1m_Neuron,Neuron,1.762747174039086,0
27,ENO_Neuron,Neuron,2.992266354277784,0
28,ETF_Neuron,Neuron,4.836353837476988,1
29,ETFQO_Neuron,Neuron,4.836353837476988,1
30,ETOHMO_Neuron,Neuron,4.728741240382639,1
31,FBA_Neuron,Neuron,1.8464767427315023,0
32,FUMm_Neuron,Neuron,4.836353837476988,1
33,GAPD_Neuron,Neuron,2.992266354277784,0
34,GCCam_Neuron,Neuron,0.0083299759164573,0
35,GCCbim_Neuron,Neuron,0.0083299759164573,0
36,GCCcm_Neuron,Neuron,0.0083299759164573,0
37,GHMT2rm_Neuron,Neuron,0.0083299759164573,0
38,GLNtm_Neuron,Neuron,2.9479465135204386,0
39,GLUDxm_Neuron,Neuron,0.0166598073361702,0
40,GLUDym_Neuron,Neuron,0.4949329230945269,0
41,GLUNm_Neuron,Neuron,2.9479465135204386,0
42,GLUVESSEC_Neuron,Neuron,2.9479465135204386,0
43,GLUt2m_Neuron,Neuron,2.95518517415944,0
44,GLYCLTDym_Neuron,Neuron,5.506521233622489,1
45,GLYOXm_Neuron,Neuron,3.294462292742192,0
46,GLYtm_Neuron,Neuron,0.0166598073361703,0
47,GTHOm_Neuron,Neuron,3.4725551729236006,0
48,H2O2t_Neuron,Neuron,0.0249893497849514,0
49,H2O2tm_Neuron,Neuron,0.0249893497849514,0
50,H2Otm_Neuron,Neuron,10.44324848549486,1
51,HEX1_Neuron,Neuron,1.8464767427315023,0
52,HMGCOASim_Neuron,Neuron,4.836353837476988,1
53,HMGLm_Neuron,Neuron,4.836353837476988,1
54,Htm_Neuron,Neuron,0.4949329230945269,0
55,ICDHxm_Neuron,Neuron,0.4949329230945269,0
56,ICDHyrm_Neuron,Neuron,4.836353837476988,1
57,Kt1r_Neuron,Neuron,10.92844968286738,1
58,L-LACt2r_Neuron,Neuron,3.907277918803482,0
59,L-LACtm_Neuron,Neuron,0.4949329230945269,0
60,LDH_L_Neuron,Neuron,3.907277918803482,0
61,LSOProd_Neuron,Neuron,0.4949329230945269,0
62,MALtm_Neuron,Neuron,0.01665980733617,0
63,MDH_Neuron,Neuron,4.839296609725069,1
64,MDHm_Neuron,Neuron,6.212222040676584,1
65,ME2m_Neuron,Neuron,0.4949329230945269,0
66,MMCDm_Neuron,Neuron,1.762747174039086,0
67,NADH2-u10m_Neuron,Neuron,8.04023822165244,1
68,NH4t3r_Neuron,Neuron,2.944318317352816,0
69,NaKt_Neuron,Neuron,9.542262954143496,1
70,O2St_Neuron,Neuron,0.0499747993755401,0
71,O2Stm_Neuron,Neuron,0.0499747993755401,0
72,O2t_Neuron,Neuron,7.018187858667144,1
73,O2tm_Neuron,Neuron,7.018187858667144,1
74,OCOAT1m_Neuron,Neuron,4.836353837476988,1
75,OIVD1m_Neuron,Neuron,1.970411171542796,0
76,P45011A1m_Neuron,Neuron,3.4725551729236006,0
77,P5CDm_Neuron,Neuron,1.676609149624657,0
78,PCFLOPm_Neuron,Neuron,1.762747174039086,0
79,PDHm_Neuron,Neuron,4.836353837476988,1
80,PEFLIP_Neuron,Neuron,1.762747174039086,0
81,PEFLIPm_Neuron,Neuron,2.095186025298517,0
82,PFK_Neuron,Neuron,1.8464767427315023,0
83,PGI_Neuron,Neuron,1.8464767427315023,0
84,PGK_Neuron,Neuron,2.992266354277784,0
85,PGM_Neuron,Neuron,2.992266354277784,0
86,PIt2m_Neuron,Neuron,10.099256574394284,1
87,PPAm_Neuron,Neuron,2.887270950357621,0
88,PROD2m_Neuron,Neuron,1.762747174039086,0
89,PSFLIP_Neuron,Neuron,1.762747174039086,0
90,PSFLIPm_Neuron,Neuron,1.762747174039086,0
91,PYK_Neuron,Neuron,2.992266354277784,0
92,PYRt2m_Neuron,Neuron,4.836353837476988,1
93,SERGLYexR_Neuron,Neuron,0.0083299759164573,0
94,SPODMm_Neuron,Neuron,0.0249893497849514,0
95,SUCD1m_Neuron,Neuron,4.836353837476988,1
96,SUCOAS1m_Neuron,Neuron,1.762747174039086,0
97,SUCOASm_Neuron,Neuron,1.762747174039086,0
98,THD1m_Neuron,Neuron,4.836353837476988,1
99,TMDK1m_Neuron,Neuron,1.762747174039086,0
100,TPI_Neuron,Neuron,1.8464767427315023,0
101,MTDNAploym_Neuron,Neuron,1.4551915228366852e-11,0
102,NH3tm_Neuron,Neuron,2.944318317352816,0
103,NDPK1_Neuron,Neuron,1.762747174039086,0
104,SERtm_Neuron,Neuron,0.0083299759164573,0
105,GLNtN1_Neuron,Neuron,2.9479465135204386,0
106,ALATA_L_Neuron,Neuron,0.01665980733617,0
107,ALAtN1_Neuron,Neuron,0.01665980733617,0
108,HtrnsEX_Neuron,Neuron,0.0499747993754741,0
109,NaEX_Neuron,Neuron,11.71585562069908,1
110,GLCt1r_Neuron,Neuron,8.394831803042532,1
111,AA_H2Ot_neuron,Neuron,6.756683239013557,1
