ID,gene,cell
10FTHF5GLUtmNeuron,,Neuron
10FTHF6GLUtmNeuron,,Neuron
10FTHF7GLUtmNeuron,,Neuron
10FTHFtmNeuron,,Neuron
1a2425VITD2HmNeuron,1594,Neuron
1a2425VITD3HmNeuron,1594,Neuron
1a25VITD2HmNeuron,1591,Neuron
1a25VITD3HmNeuron,1591,Neuron
2425VITD2HmNeuron,1591,Neuron
2425VITD2HmNeuron,1594,Neuron
2425VITD2HmNeuron,1591,Neuron
2425VITD3HmNeuron,1591,Neuron
2425VITD3HmNeuron,1594,Neuron
2425VITD3HmNeuron,1591,Neuron
25HVITD2tNeuron,,Neuron
25HVITD2tinNeuron,,Neuron
25HVITD2tinmNeuron,,Neuron
25HVITD2tinmNeuron,,Neuron
25HVITD2tmNeuron,,Neuron
25HVITD3tNeuron,,Neuron
25HVITD3tinNeuron,,Neuron
25HVITD3tinmNeuron,,Neuron
25HVITD3tinmNeuron,,Neuron
25HVITD3tmNeuron,,Neuron
25VITD2HmNeuron,1591,Neuron
25VITD2HmNeuron,1594,Neuron
25VITD2HmNeuron,1594,Neuron
25VITD2HmNeuron,1591,Neuron
25VITD3HmNeuron,1591,Neuron
25VITD3HmNeuron,1594,Neuron
25VITD3HmNeuron,1594,Neuron
25VITD3HmNeuron,1591,Neuron
2AMADPTmNeuron,89874,Neuron
2AMADPTmNeuron,89874,Neuron
2OXOADOXmNeuron,4967,Neuron
2OXOADOXmNeuron,1738,Neuron
2OXOADOXmNeuron,4967,Neuron
2OXOADOXmNeuron,1743,Neuron
2OXOADOXmNeuron,8050,Neuron
2OXOADOXmNeuron,8050,Neuron
2OXOADOXmNeuron,1738,Neuron
2OXOADOXmNeuron,4967,Neuron
2OXOADOXmNeuron,1743,Neuron
2OXOADPTmNeuron,89874,Neuron
2OXOADPTmNeuron,89874,Neuron
2OXOADPTmNeuron,89874,Neuron
2OXOADPTmNeuron,89874,Neuron
34HPLFMNeuron,,Neuron
3AIBTmNeuron,18,Neuron
3AIBTmNeuron,18,Neuron
3AIBTmNeuron,64902,Neuron
3AIBTmNeuron,18,Neuron
3AIBtNeuron,,Neuron
3AIBtmNeuron,18,Neuron
3AIBtmNeuron,18,Neuron
3AIBtmNeuron,64902,Neuron
3AIBtmNeuron,18,Neuron
3DPHBH1Neuron,,Neuron
3DPHBH2Neuron,,Neuron
3HBCDmNeuron,55268,Neuron
3HBCDmNeuron,55268,Neuron
3HBCOAHLmNeuron,26275,Neuron
3SALAASPmNeuron,10165,Neuron
3SALAASPmNeuron,8604,Neuron
3SALAASPmNeuron,10165,Neuron
3SALAASPmNeuron,8604,Neuron
3SALATAimNeuron,2805,Neuron
3SALATAimNeuron,2806,Neuron
3SALATAimNeuron,2806,Neuron
3SALATAimNeuron,2806,Neuron
3SALATAimNeuron,2806,Neuron
3SPYRSPmNeuron,,Neuron
3SPYRSPmNeuron,,Neuron
4ABUTtmNeuron,,Neuron
4HBZCOAFmNeuron,,Neuron
4HBZFmNeuron,,Neuron
4HGLSDmNeuron,8659,Neuron
4HGLSDmNeuron,8659,Neuron
4HGLSDmNeuron,8659,Neuron
5AOPtmNeuron,,Neuron
5AOPtmNeuron,,Neuron
5HOXINDACTOXmNeuron,8659,Neuron
5HOXINDACTOXmNeuron,219,Neuron
5HOXINDACTOXmNeuron,217,Neuron
5THFtmNeuron,,Neuron
6DHFtmNeuron,,Neuron
6THFtmNeuron,,Neuron
7DHFtmNeuron,,Neuron
7THFtmNeuron,,Neuron
AACOATNeuron,65985,Neuron
AACOATNeuron,65985,Neuron
AACTOORNeuron,8639,Neuron
AACTOORNeuron,8639,Neuron
AACTtmNeuron,,Neuron
AASAD3mNeuron,60496,Neuron
AATAiNeuron,51166,Neuron
AATAiNeuron,51166,Neuron
AATAiNeuron,51166,Neuron
ABTArmNeuron,18,Neuron
ABTArmNeuron,18,Neuron
ABTArmNeuron,18,Neuron
ABUTt2rNeuron,206358,Neuron
ABUTt2rNeuron,206358,Neuron
ACACT10mNeuron,38,Neuron
ACACT10mNeuron,10449,Neuron
ACACT10mNeuron,3032,Neuron
ACACT10mNeuron,38,Neuron
ACACT1rNeuron,38,Neuron
ACACT1rNeuron,3032,Neuron
ACACT1rNeuron,3030,Neuron
ACACT1rNeuron,39,Neuron
ACACT1rNeuron,39,Neuron
ACACT1rmNeuron,38,Neuron
ACACT1rmNeuron,3032,Neuron
ACACT1rmNeuron,3030,Neuron
ACACT1rmNeuron,38,Neuron
ACACT1rmNeuron,3030,Neuron
ACACT1rmNeuron,3032,Neuron
ACACT1rmNeuron,38,Neuron
ACACT1rmNeuron,3032,Neuron
ACACT1rmNeuron,3030,Neuron
ACACT1rmNeuron,39,Neuron
ACACT1rmNeuron,38,Neuron
ACACT1rmNeuron,3030,Neuron
ACACT1rmNeuron,3032,Neuron
ACACt2Neuron,9194,Neuron
ACACt2Neuron,6566,Neuron
ACACt2Neuron,6566,Neuron
ACACt2Neuron,9194,Neuron
ACACt2mNeuron,6566,Neuron
ACACt2mNeuron,6566,Neuron
ACACt2mNeuron,9194,Neuron
ACACt2mNeuron,6566,Neuron
ACACt2mNeuron,6566,Neuron
ACALDtNeuron,,Neuron
ACALDtmNeuron,,Neuron
ACALDtmNeuron,,Neuron
ACCOALmNeuron,84532,Neuron
ACCOALmNeuron,79611,Neuron
ACCOALmNeuron,84532,Neuron
ACCOALmNeuron,84532,Neuron
ACCOALmNeuron,79611,Neuron
ACCOALmNeuron,55902,Neuron
ACCOALmNeuron,55902,Neuron
ACCOALmNeuron,84532,Neuron
ACOAD10mNeuron,34,Neuron
ACOAD10mNeuron,36,Neuron
ACOAD10mNeuron,34,Neuron
ACOAD10mNeuron,36,Neuron
ACOAD1fmNeuron,34,Neuron
ACOAD1fmNeuron,36,Neuron
ACOAD1fmNeuron,35,Neuron
ACOAD1fmNeuron,80724,Neuron
ACOAD1fmNeuron,27034,Neuron
ACOAD1fmNeuron,84129,Neuron
ACOAD1fmNeuron,28976,Neuron
ACOAD1fmNeuron,34,Neuron
ACOAD1fmNeuron,36,Neuron
ACOAD1fmNeuron,28976,Neuron
ACOAD1fmNeuron,80724,Neuron
ACOAD1fmNeuron,27034,Neuron
ACOAD8mNeuron,3712,Neuron
ACOAD8mNeuron,3712,Neuron
ACOAD9mNeuron,34,Neuron
ACOAD9mNeuron,27034,Neuron
ACOAD9mNeuron,34,Neuron
ACOAD9mNeuron,27034,Neuron
ACONTmNeuron,50,Neuron
ACONTmNeuron,48,Neuron
ACONTmNeuron,50,Neuron
ACONTmNeuron,50,Neuron
ACONTmNeuron,48,Neuron
ACONTmNeuron,3658,Neuron
ACONTmNeuron,50,Neuron
ACRNtmNeuron,788,Neuron
ACRNtmNeuron,788,Neuron
ACSmNeuron,84532,Neuron
ACSmNeuron,160728,Neuron
ACSmNeuron,84532,Neuron
ACSmNeuron,6818,Neuron
ACSmNeuron,84532,Neuron
ACSmNeuron,65985,Neuron
ACSmNeuron,55902,Neuron
ACSmNeuron,55902,Neuron
ACSmNeuron,438,Neuron
ACSmNeuron,160728,Neuron
ACSmNeuron,84532,Neuron
ACt2mNeuron,6566,Neuron
ACt2mNeuron,6566,Neuron
ADCimNeuron,,Neuron
ADK1Neuron,204,Neuron
ADK1Neuron,205,Neuron
ADK1Neuron,205,Neuron
ADK1Neuron,204,Neuron
ADK1Neuron,205,Neuron
ADK1Neuron,204,Neuron
ADK1Neuron,26289,Neuron
ADK1Neuron,26289,Neuron
ADK1Neuron,122481,Neuron
ADK1Neuron,203,Neuron
ADK1Neuron,203,Neuron
ADK1Neuron,26289,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,26289,Neuron
ADK1mNeuron,26289,Neuron
